episode_length,episode_return,episodes,steps,steps_per_second,success
12,-0.7952404061509502,1,12,5.383725550872509,False
3,1.5212781858435394,2,15,30.376484675254446,True
4,-0.4823679333997508,3,19,38.99474483024709,False
200,-15.228039461956621,4,219,72.22528592054262,False
200,-17.301036531263758,5,419,72.23128109355812,False
200,-18.851440177343996,6,619,66.92879341987968,False
200,-19.61923248464519,7,819,71.90367731337685,False
200,-18.14189416027789,8,1019,72.65869811771485,False
200,-21.379719770980635,9,1219,72.4604383711542,False
4,-1.265,10,1223,69.32619295548834,False
7,-1.9772872486643411,11,1230,51.89649028535875,False
5,-1.3533333333333333,12,1235,56.61291933581149,False
200,-19.32586825653884,13,1435,75.1340859930944,False
7,-1.5299999999999998,14,1442,63.91863037079611,False
7,-1.5299999999999998,15,1449,63.59204236563099,False
12,-2.463128598415288,16,1461,66.64642666087573,False
7,0.429594510446768,17,1468,58.75057129478811,False
16,-1.5782006361491434,18,1484,68.25382186173053,False
200,-15.16461754750922,19,1684,71.22645995169043,False
200,-19.03543372864167,20,1884,76.78650002970365,False
16,-2.674546332406389,21,1900,65.74917114080809,False
200,-17.66666666666664,22,2100,24.55609038234469,False
200,-17.94010181732202,23,2300,56.18766337482265,False
49,-1.707723045517739,24,2349,58.55411288711943,False
6,-0.21114077484711724,25,2355,43.79315481369594,False
7,-1.4301199239968267,26,2362,57.37190156931789,False
200,-13.147466843210687,27,2562,57.82737587248347,False
9,-2.174507797242743,28,2571,28.593043363654335,False
47,-2.956662241641159,29,2618,49.97885259642108,False
11,-3.0856831285397903,30,2629,52.548048241293024,False
14,-3.3302093132121655,31,2643,67.53537886124255,False
14,-1.5433166636646258,32,2657,32.88513494215165,False
8,-1.2290864843754268,33,2665,61.078687354832134,False
6,-1.7670286784569422,34,2671,67.92981849984344,False
10,-1.795,35,2681,70.14930315715884,False
8,-0.1589008905106606,36,2689,57.49077270756911,False
10,-2.5695303904532203,37,2699,32.61062824168058,False
14,-2.1483333333333334,38,2713,57.25001828053752,False
10,-1.795,39,2723,51.377362280920956,False
9,0.1338305143007572,40,2732,49.5659531556515,False
15,-4.113100377657059,41,2747,59.803179956407966,False
9,-2.9305892193322127,42,2756,30.60495743944272,False
5,-1.3533333333333333,43,2761,46.256250317065046,False
6,-1.4416666666666667,44,2767,56.55914974142988,False
6,-1.1158299484256047,45,2773,55.53187489242637,False
10,0.8388604636879942,46,2783,57.87090783408231,False
14,-4.724538346846435,47,2797,57.4038704430011,False
7,-1.5727101887082704,48,2804,26.918437307177822,False
21,-4.583513557595243,49,2825,60.59665151298337,False
13,-1.2874454261234984,50,2838,66.98001506025946,False
5,-1.7699943840864016,51,2843,44.01546411226173,False
14,-2.324245822982242,52,2857,19.855760969059705,False
11,-4.777889497503941,53,2868,40.10035574383315,False
200,-17.74635613309081,54,3068,33.12979548454817,False
18,-5.049379445345823,55,3086,62.68586108348043,False
8,-1.6183333333333332,56,3094,58.00919380464116,False
6,-0.19847173630055126,57,3100,27.544332171689753,False
7,-1.5299999999999998,58,3107,55.10865517448495,False
11,-1.8833333333333333,59,3118,58.01950694413006,False
33,-8.28443644059535,60,3151,41.00218886442993,False
16,-2.5982434329766586,61,3167,62.13346468211496,False
5,-1.3533333333333333,62,3172,56.517715416063666,False
200,-19.71873379229848,63,3372,48.003822631063166,False
10,-3.665889147889947,64,3382,41.17977290912929,False
8,-1.1641671886452583,65,3390,43.30816757724421,False
10,-0.46070354735435814,66,3400,29.80437411797811,False
5,-1.384555790734301,67,3405,43.78946665079753,False
10,-3.703263692648375,68,3415,51.16758303760191,False
8,-3.2739854652690767,69,3423,59.93864379712511,False
8,-2.96975779412503,70,3431,54.02411524051644,False
6,-1.4416666666666667,71,3437,59.31586638634071,False
7,-1.8603224801140603,72,3444,64.40630196245321,False
5,-1.3533333333333333,73,3449,28.068236875001674,False
34,-8.988986797683875,74,3483,51.895440791424896,False
6,-1.062352949820442,75,3489,54.5387686106235,False
9,-0.8258161644071721,76,3498,39.10955289290876,False
10,-3.0350713911404603,77,3508,38.018434975875365,False
200,-92.81029610335834,78,3708,42.67753749123922,False
9,-2.1880239969029542,79,3717,57.765002570819966,False
5,-1.3533333333333333,80,3722,63.6102011598845,False
7,2.6724064728123937,81,3729,47.56440526122238,True
10,-0.3618928368266612,82,3739,56.055447301808776,False
10,0.05799753178504585,83,3749,39.861776904274045,False
20,-7.19649897005419,84,3769,53.703829609612725,False
4,-2.2320457664032425,85,3773,52.10089002341513,False
11,-0.3338252077033945,86,3784,58.69801478857829,False
5,-1.3533333333333333,87,3789,54.881739339792006,False
5,-1.4660950469568332,88,3794,59.2186639633814,False
5,-1.3533333333333333,89,3799,27.932864755861548,False
6,-1.4416666666666667,90,3805,46.78314634939815,False
9,2.929717106746545,91,3814,48.391968843502184,True
20,-7.01764221294134,92,3834,50.29331443573708,False
5,-1.3533333333333333,93,3839,63.4328060252261,False
14,-0.26727524411011694,94,3853,32.12856623068232,False
6,-1.0265996191055575,95,3859,45.09826494295924,False
6,-1.4416666666666667,96,3865,56.36141793652074,False
6,-0.2011267045061762,97,3871,49.45257895646979,False
200,-89.01988100788252,98,4071,44.51223265411642,False
13,-0.021003310944415432,99,4084,57.17846079634232,False
12,1.2882493038970897,100,4096,59.078864708782305,False
6,-1.025755243946552,101,4102,27.619756506316723,False
4,-1.265,102,4106,64.92253278590196,False
8,-1.362675005930634,103,4114,62.12989821670935,False
16,-6.639153913127267,104,4130,61.40765453743542,False
9,-1.0000694378317148,105,4139,69.430879474993,False
17,-0.9743207358831191,106,4156,47.32629466179132,False
5,-1.2958945326631306,107,4161,58.389816351304695,False
5,-1.064492712050797,108,4166,67.19788776170671,False
15,0.6645610573577709,109,4181,55.624865722235334,False
5,-0.9373696867682,110,4186,66.77148106049752,False
6,-1.4416666666666667,111,4192,66.04787100025196,False
5,-1.6977461985873157,112,4197,65.53866250816439,False
1,1.0,113,4198,9.326603129989282,True
11,-0.2453871860333876,114,4209,46.32151835698738,False
6,-1.6877522448123752,115,4215,56.21160693145826,False
13,-5.708951549749929,116,4228,60.209420221840645,False
20,-6.982933279264817,117,4248,47.77770057149106,False
6,-1.4416666666666667,118,4254,40.61584942689387,False
20,0.5679990718416565,119,4274,64.05424515695512,False
5,-1.682872078100609,120,4279,70.33882274023142,False
6,-0.4694716281873148,121,4285,59.10397873124951,False
8,-1.6183333333333332,122,4293,67.98973905925166,False
6,-1.4416666666666667,123,4299,19.38246477728802,False
6,-1.4416666666666667,124,4305,51.21479594121023,False
5,-1.8144405773119106,125,4310,50.84806090656709,False
5,-0.558325949475037,126,4315,58.03032189690334,False
5,-2.832261013742137,127,4320,58.44660897677076,False
6,-0.2001988191681341,128,4326,57.66898878052358,False
13,2.2684568713256725,129,4339,56.619809162643726,False
13,-5.757803649543123,130,4352,38.205244589874475,False
22,-5.460214081666427,131,4374,67.42480437424236,False
10,0.24982945195712292,132,4384,59.25154086633205,False
200,-100.23289097845567,133,4584,32.514510021344144,False
5,-1.3533333333333333,134,4589,37.94665055061177,False
5,-1.3533333333333333,135,4594,91.2789442529336,False
9,-3.405210129075615,136,4603,17.008125876060454,False
4,-1.265,137,4607,45.96787194809536,False
6,-0.14013506782889062,138,4613,38.59096450483579,False
6,-1.1612759225605178,139,4619,43.42678861087144,False
7,-1.5299999999999998,140,4626,38.23451092335421,False
5,-1.5886142166615371,141,4631,31.86822070600392,False
12,-3.88600875383951,142,4643,33.01405790028809,False
10,-0.6141777713988391,143,4653,20.30241336280213,False
34,8.289903512825523,144,4687,42.927920120289166,False
6,-1.4416666666666667,145,4693,55.246849726464056,False
13,-4.270531464276382,146,4706,33.663418612504856,False
4,-1.265,147,4710,49.22140987877437,False
5,-1.3533333333333333,148,4715,57.267628248889956,False
10,-2.869416225831217,149,4725,53.134761728008755,False
6,-1.854632181226928,150,4731,53.760607038104375,False
13,-2.41319251505268,151,4744,59.8382086492549,False
8,-2.6971475332576915,152,4752,25.997987068581455,False
20,-1.880690507224266,153,4772,48.484747600502615,False
5,-2.3664085336395413,154,4777,47.404085452272724,False
6,-1.8483438696469088,155,4783,56.37177046139786,False
4,-0.1257700257060621,156,4787,43.71377577208785,False
5,-1.3533333333333333,157,4792,56.96568996286769,False
7,-1.5299999999999998,158,4799,30.15324890597383,False
5,-1.3533333333333333,159,4804,49.93207159030574,False
7,-0.7823931161463118,160,4811,46.77384244803283,False
4,-1.838867968678389,161,4815,46.93190108537541,False
8,0.554797002807919,162,4823,40.779548506669094,False
10,-1.795,163,4833,46.22505141255017,False
15,-6.739231755543207,164,4848,27.35042259448058,False
7,-1.1147664084072395,165,4855,40.159718992619176,False
8,-1.8862415003102058,166,4863,60.23205034770215,False
10,-1.939595383787675,167,4873,54.026985772894434,False
6,-1.4416666666666667,168,4879,63.88578362556769,False
5,-1.3533333333333333,169,4884,60.58803985751142,False
8,-2.4644565620349037,170,4892,58.53837726184744,False
4,-1.265,171,4896,60.58397038909452,False
17,1.9549521730739716,172,4913,34.02034259300787,False
5,-1.3533333333333333,173,4918,48.6793915633146,False
5,-1.1015597904272239,174,4923,50.56217105025231,False
7,-1.734848439739332,175,4930,54.88623307479338,False
5,-0.9731201012205788,176,4935,57.28984319510463,False
5,-1.3533333333333333,177,4940,60.35716649830051,False
8,-1.877534841701567,178,4948,37.07479501064586,False
12,1.1803700372614747,179,4960,42.68338328304441,False
12,-5.745537294363634,180,4972,54.84967018261192,False
12,-4.815774491694391,181,4984,58.2806643755037,False
10,-0.7634047128617589,182,4994,56.11018953541883,False
13,-2.600548351030201,183,5007,33.08374698671637,False
200,-16.106993073719252,184,5207,58.45150416705049,False
5,-1.3533333333333333,185,5212,61.19998132324789,False
40,-17.494395463402178,186,5252,43.66620676803176,False
200,-17.633320825188363,187,5452,59.48577185456145,False
12,-0.08990928351471528,188,5464,60.11952799414233,False
18,-2.501666666666667,189,5482,67.51255909782316,False
7,-1.54340477262682,190,5489,61.927088342740475,False
18,-4.9976870301765635,191,5507,36.38162372527533,False
6,-1.4416666666666667,192,5513,32.885368221739306,False
10,-1.795,193,5523,41.65685738973254,False
95,-10.35715514296987,194,5618,38.52691520525652,False
9,-1.2303172731399534,195,5627,29.909868051467296,False
13,-2.368201306857961,196,5640,26.65085906890538,False
5,-1.3533333333333333,197,5645,26.24569799485887,False
109,-8.873780871095118,198,5754,31.342263955313708,False
200,-19.8164301079828,199,5954,39.64341658383015,False
16,0.5478797162387874,200,5970,37.924061305669944,False
200,-14.329656441778422,201,6170,34.97994886825883,False
12,0.15232318987188243,202,6182,27.548674116369497,False
5,-1.3533333333333333,203,6187,46.34344255774279,False
10,-3.8587200151337653,204,6197,49.01462502556312,False
6,-2.6881243889978665,205,6203,12.598092701705555,False
10,-1.1101489083945042,206,6213,65.79888711618136,False
1,1.0,207,6214,56.980084227686454,True
200,-16.437267927956146,208,6414,53.91997372330992,False
8,-2.3531028798238127,209,6422,62.98746799420329,False
11,0.9564075992487777,210,6433,63.87674705484108,False
200,-16.438511133658963,211,6633,61.88605705203511,False
4,-1.4962849488829608,212,6637,63.50171271115552,False
1,1.0,213,6638,42.872954380513335,True
114,-13.059611099411958,214,6752,43.13032710449819,False
4,-1.265,215,6756,41.701484153043495,False
200,-17.07842265622614,216,6956,54.0217007500989,False
8,-1.778683423691564,217,6964,43.66690004658923,False
24,-4.0505210004043635,218,6988,40.00611080686019,False
11,-2.275924789690934,219,6999,27.123005265599126,False
8,-1.6183333333333332,220,7007,37.25600208739292,False
12,-3.394273369678908,221,7019,39.036662858525624,False
5,-1.7305763195497186,222,7024,39.010539708995395,False
8,-3.2110502512980537,223,7032,43.81801276626864,False
9,-2.504516391937331,224,7041,41.33681267719303,False
16,-5.752574983064496,225,7057,34.02151335687656,False
17,-6.522385898233076,226,7074,53.013389561212875,False
6,-1.5116588340805133,227,7080,62.96540456418558,False
5,-1.3533333333333333,228,7085,61.682211104346266,False
12,-4.261061962819458,229,7097,59.28533416257054,False
9,-0.45792131897535726,230,7106,28.985471457760802,False
9,-4.1630386956655006,231,7115,59.93508693657147,False
5,-1.3533333333333333,232,7120,59.25564258185558,False
6,-1.4416666666666667,233,7126,61.34026217137174,False
5,-1.3533333333333333,234,7131,65.23611772134967,False
10,-1.903342104521447,235,7141,62.29010173015519,False
8,0.3668353230699548,236,7149,34.08773460794124,False
6,-2.2555363602169014,237,7155,28.611768130046546,False
9,0.05011715060373301,238,7164,34.56239430649035,False
6,-1.4416666666666667,239,7170,46.816131084595554,False
10,-3.5866078465406,240,7180,43.34181024193807,False
13,-3.296945220688137,241,7193,48.62978507838601,False
9,-1.5094288633857036,242,7202,27.136786925597423,False
14,-4.015132771194141,243,7216,37.99181031610316,False
8,-0.02204476763274621,244,7224,51.29713706527406,False
5,-1.3533333333333333,245,7229,58.39680776117242,False
18,-4.711143151964505,246,7247,54.8120587663026,False
5,-1.3533333333333333,247,7252,21.746319621805302,False
6,-1.7472534078488726,248,7258,88.21694382904737,False
13,-4.178267956852225,249,7271,58.273397656493806,False
7,-2.247062480043112,250,7278,56.377760069127746,False
5,-1.4668524599840813,251,7283,52.056595343295434,False
6,-1.0264302065836994,252,7289,57.15660373930265,False
6,-1.2642164706866708,253,7295,48.36056797065216,False
5,-1.3533333333333333,254,7300,23.415043717195356,False
20,-8.343654326990684,255,7320,51.26721311876166,False
5,-1.3533333333333333,256,7325,57.73365708087632,False
12,-2.310459390075805,257,7337,55.88096290194006,False
5,-1.3533333333333333,258,7342,58.01458973628374,False
10,-1.816341094104405,259,7352,30.130260470656015,False
8,-2.955714345507626,260,7360,45.578432770843435,False
5,-1.3274212391076952,261,7365,47.68281064907131,False
5,-0.8897922334466581,262,7370,41.55178836079476,False
8,-3.0340597581053426,263,7378,45.99963259990404,False
9,-3.598238328441018,264,7387,54.08864530272745,False
36,-12.589878039415648,265,7423,41.39493654437206,False
8,0.414009066060554,266,7431,54.198289466245626,False
9,-1.2513390286890027,267,7440,62.10655373589599,False
3,1.5294922097881543,268,7443,43.88433677793317,True
7,-0.8434023084272706,269,7450,25.878168651591114,False
12,-1.7486594589111328,270,7462,48.228869298581834,False
13,-0.25443601929538073,271,7475,54.14729993157847,False
19,-6.453176601143607,272,7494,57.79612037048453,False
10,-3.1262185133221365,273,7504,31.098934749613885,False
12,0.4104178018497431,274,7516,55.272695325969735,False
10,0.42785920668211097,275,7526,57.73922045312504,False
7,-1.3539816216992064,276,7533,58.696777289084366,False
5,-1.3533333333333333,277,7538,57.72396347992194,False
