episode_length,episode_return,episodes,steps,steps_per_second,success
4,-1.265,1,4,4.89578848551753,False
18,-3.0473306156771383,2,22,72.69024733805178,False
13,-3.9877455938284476,3,35,64.08590240542719,False
75,-10.805318579541224,4,110,67.11798488669287,False
4,-1.265,5,114,63.064653876225414,False
15,-7.495038146293199,6,129,59.587492363863674,False
26,-3.8474718332574995,7,155,71.60880539817872,False
17,-2.844417254548016,8,172,69.70783449964121,False
11,-0.8633300492557026,9,183,66.73611247721816,False
4,-1.265,10,187,65.88524326213562,False
64,-11.584635313806125,11,251,64.64964017497411,False
20,-4.7846543271021815,12,271,67.79319563400793,False
24,2.9283065505455395,13,295,61.66522259032011,False
37,-0.1399660709044923,14,332,70.59254905885243,False
19,-3.3768484481848686,15,351,54.17321310216138,False
27,-3.2966666666666673,16,378,38.109429042746584,False
19,-1.4697718101765531,17,397,30.65041193866362,False
44,-1.5093792877638335,18,441,42.49270242067618,False
15,-2.236666666666667,19,456,74.60085919352487,False
66,-9.063441741820949,20,522,70.29765064241337,False
13,-4.916390096447099,21,535,58.58375584887213,False
55,-1.493622017303536,22,590,71.07185109235745,False
22,-4.226456097133466,23,612,72.22728325871192,False
69,-5.305194487956561,24,681,75.43562790435806,False
30,-2.5012402736460713,25,711,74.60568045919901,False
67,-6.093250683651024,26,778,71.38600666615353,False
31,-0.3538859347774044,27,809,69.11426569754029,True
18,-1.349013947214078,28,827,71.0500915212287,False
56,-6.513604632397796,29,883,73.95712470260473,False
16,-1.0914536105277963,30,899,72.74973278032049,False
6,-1.8264953411768319,31,905,62.58193700481939,False
8,-3.2581549877746285,32,913,67.59310097538767,False
86,-12.720224153656575,33,999,69.83256801030403,False
13,-4.049004931486236,34,1012,64.8780183666136,False
37,-3.6785033333473742,35,1049,66.67267335129439,False
31,-3.667118044463557,36,1080,66.35696678768677,False
11,-5.001371790588358,37,1091,60.693694938085976,False
67,-4.177573782521826,38,1158,76.78802425577867,False
25,-2.187771849241745,39,1183,72.62411347517731,False
18,-1.5516853420194594,40,1201,65.6713902359465,False
24,-9.94939326471916,41,1225,64.05375605137368,False
39,-5.1033401663381515,42,1264,68.22552338687983,False
20,3.167691608297593,43,1284,56.253586845071766,False
55,-5.407776963416654,44,1339,68.98148815420687,False
20,-5.569009748286674,45,1359,70.43166071662463,False
22,-4.288614296470696,46,1381,74.23158724604103,False
7,-3.5173843522335613,47,1388,60.72792107059383,False
19,-0.5029333460183603,48,1407,67.94995570433518,False
8,-2.3061740726398674,49,1415,69.99387139099399,False
54,3.631664033086974,50,1469,67.76746334749566,False
87,-9.360496967880923,51,1556,76.43047194874592,False
23,-5.1831327953521,52,1579,66.4569616581967,False
23,-5.139319925359518,53,1602,73.46950911162425,False
6,-1.0767224890166178,54,1608,59.89737926307096,False
11,-2.567072840969682,55,1619,61.857499681577764,False
53,-2.8945488954186183,56,1672,72.77748887703021,False
11,-2.1920872990056797,57,1683,66.01932900810765,False
5,2.21912564989945,58,1688,48.85539432088469,True
14,-3.217986760711491,59,1702,67.37791363455902,False
10,-1.5930229324562313,60,1712,68.59131435897771,False
8,-0.8882080303141009,61,1720,68.61692681759715,False
92,-0.4921831151454086,62,1812,70.8095431298079,False
59,-6.868757312720257,63,1871,73.77480528811397,False
28,-4.511761452553946,64,1899,73.16441050388154,False
28,-5.013999513458798,65,1927,75.65020435901482,False
17,-1.7674622358403171,66,1944,61.25233379921982,False
14,-5.781817732367134,67,1958,60.29665166102586,False
8,-1.6183333333333332,68,1966,66.59739599872975,False
15,-2.1654786347717794,69,1981,75.44417823249657,False
8,-1.8677117584927967,70,1989,68.14369413919786,False
76,-10.392116531630942,71,2065,14.679026134908737,False
11,-1.7148016208658143,72,2076,45.00440315497662,False
12,-3.0987158250367384,73,2088,64.64311694716726,False
1,1.0,74,2089,38.810992874988436,True
19,-1.3550794294738209,75,2108,48.858018170682286,False
40,-4.6420577523883475,76,2148,63.77637008901283,False
26,-1.5998613581928247,77,2174,66.66673024501506,False
36,-8.794080992434187,78,2210,58.0814120948782,False
23,-2.470818883007306,79,2233,73.87929068400516,False
26,-3.2140210642119893,80,2259,48.77660481397228,False
1,1.0,81,2260,42.5303846114846,True
17,-2.108413738786145,82,2277,69.45930138542258,False
10,-0.1143420336111649,83,2287,59.981008820602,False
11,-1.8833333333333333,84,2298,47.489219614773766,False
8,-1.6183333333333332,85,2306,49.910057742251205,False
40,-5.757840158998439,86,2346,64.44860600040028,False
24,-1.1010132496576257,87,2370,50.64119228785954,False
6,-1.3354532039882012,88,2376,66.6323097208763,False
24,-3.6997968150067053,89,2400,53.75489403968205,False
8,-0.5946085373577717,90,2408,57.161602017001414,False
9,-1.4220342849883625,91,2417,70.04814649181569,False
14,-3.855053375644568,92,2431,69.17127472726823,False
1,1.0,93,2432,44.19243493836266,True
26,-10.864909654336708,94,2458,47.93355439671148,False
35,-9.271111050310452,95,2493,64.48042096570869,False
42,-9.486819064368673,96,2535,54.69779815619295,False
10,-0.33581494627556574,97,2545,65.54583187478121,False
24,-0.6928707952710373,98,2569,49.88695567709438,False
35,-1.3800001656380152,99,2604,56.767433577945255,False
9,-0.27788986456146203,100,2613,61.77906086136805,False
18,-5.498553152116456,101,2631,57.23338356899621,False
11,-1.8833333333333333,102,2642,73.15387457209496,False
13,-2.7046434614925414,103,2655,41.79261872077346,False
15,-1.8182054576203486,104,2670,69.96679292620378,False
20,0.44676133458955114,105,2690,69.98455745984815,False
19,-4.216808149217031,106,2709,43.60835112230587,False
9,-3.3128837844549337,107,2718,52.15448191249636,False
17,-3.021179870261983,108,2735,72.33612790650488,False
10,-2.488639113991152,109,2745,67.37697044077794,False
23,-5.897636915610587,110,2768,49.196057542700856,False
7,-2.0702815956357905,111,2775,58.61123909528278,False
12,-0.31819665911758266,112,2787,69.20713196500293,False
8,-1.5451734691363028,113,2795,69.84540704814637,False
26,-3.208333333333334,114,2821,52.16109820990828,False
53,-8.040909887244597,115,2874,58.593823794777016,False
28,-7.677097898247328,116,2902,46.18659870847983,False
45,-14.381763438028253,117,2947,63.36648980529134,False
31,-8.56237999241084,118,2978,52.12978941354529,False
30,-12.11854854982847,119,3008,49.96173134115013,False
6,-1.4416666666666667,120,3014,72.86331735112223,False
17,-3.6133937052403717,121,3031,72.78172882099858,False
6,0.12287659765864789,122,3037,65.9264079470615,False
19,0.16695171637856254,123,3056,50.12786503708084,False
27,-3.2966666666666673,124,3083,75.87573784507029,False
7,-1.7161830430282474,125,3090,60.96384751629468,False
9,-3.6161251463986126,126,3099,48.91360984161826,False
15,-2.236666666666667,127,3114,64.83396967214382,False
10,-4.6954014858105,128,3124,64.17685455218697,False
8,-0.3834963985569033,129,3132,68.83737036999047,False
5,-1.3533333333333333,130,3137,70.46834362672294,False
6,-2.012182337936749,131,3143,62.63707774558705,False
5,-2.011018029157536,132,3148,32.321209776727024,False
10,-2.8809653879713615,133,3158,52.37387290079529,False
10,-4.625534541485597,134,3168,66.10491542840572,False
6,-1.4416666666666667,135,3174,71.89064638044661,False
6,-1.4416666666666667,136,3180,71.29673941066314,False
15,-5.636680761184577,137,3195,67.7646085641536,False
5,-1.3533333333333333,138,3200,28.649069553314554,False
8,-2.881904323324912,139,3208,55.75669033451257,False
9,-1.7066666666666666,140,3217,70.13234742220158,False
7,-1.5299999999999998,141,3224,68.58705214789136,False
10,-3.265956064745149,142,3234,65.05863228560438,False
11,-1.7246550001846042,143,3245,71.92619268100285,False
6,-1.4416666666666667,144,3251,30.256657990129185,False
6,-0.03181597601609498,145,3257,59.015965330281595,False
15,-0.9997687841235937,146,3272,68.64819450112277,False
6,-1.8479720344146093,147,3278,72.47699330405356,False
7,-0.7333804456392923,148,3285,65.37722673507197,False
9,0.25157865546017066,149,3294,66.88460734320128,False
4,-1.632578269749491,150,3298,31.62552780793823,False
12,-2.973561649874953,151,3310,55.95308676835647,False
14,-0.5837670402104636,152,3324,64.94841976493906,False
14,-2.4387507894051885,153,3338,60.80023193447851,False
