episode_length,episode_return,episodes,steps,steps_per_second,success
8,-1.0334804725646973,1,8,12.75089709998157,False
13,-1.1199999999999999,2,21,62.80822085069816,False
14,-1.7648055601119996,3,35,62.54081164242404,False
61,-3.0595246315002433,4,96,64.80309754966436,False
67,-3.914121303558346,5,163,68.2770828494319,False
24,-0.9157023239135743,6,187,64.08331959315491,False
69,-3.430321388244627,7,256,69.25303429378324,False
22,-1.136889419555664,8,278,61.27536054803035,False
13,-1.2054520797729493,9,291,64.98030901604668,False
25,-1.7446901702880862,10,316,65.8177410678586,False
34,-2.0591111946105958,11,350,70.53832098555364,False
65,-3.199058189392087,12,415,67.31830055401902,False
29,-2.093009262084961,13,444,66.11446595508873,False
57,-0.9654617881774905,14,501,65.40289936270047,False
30,-1.8498545074462893,15,531,70.70688271667375,False
48,-3.6872291278839047,16,579,67.7019329324886,False
45,-0.97653359413147,17,624,71.13743043374367,False
13,-0.30723201751708995,18,637,63.69437513433701,False
13,-1.1199999999999999,19,650,70.83546323180752,False
11,-0.6335969924926759,20,661,63.661951308360145,False
82,-0.4094233489036563,21,743,68.18174533711446,False
21,-1.983169746398926,22,764,65.40839522895067,False
26,-1.2375922203063965,23,790,71.60875837637117,False
8,-1.07,24,798,67.7160057071705,False
28,-2.061094303131104,25,826,71.06180910330238,False
23,-1.030394287109375,26,849,69.70751153795294,False
5,-1.0363700771331787,27,854,67.14302637181798,False
15,-1.2477470779418947,28,869,67.85340585172986,False
8,-1.3170951080322266,29,877,61.20703669383377,False
7,-1.06,30,884,67.36106382295314,False
18,-0.46336547851562515,31,902,68.38037426601852,False
24,-0.3639716911315919,32,926,66.06820173178869,False
10,-1.5144136810302735,33,936,61.74295652839543,False
14,-0.38900721549987805,34,950,62.18146276170477,False
18,-0.4936980438232422,35,968,62.14233788126218,False
56,-4.012243080139159,36,1024,65.68072116491052,False
31,-1.3,37,1055,73.23794438974492,False
17,-1.2733790016174318,38,1072,61.944042603097934,False
9,-1.0769382882118226,39,1081,66.98739352640546,False
11,-1.1,40,1092,71.3411863667711,False
13,-1.052048797607422,41,1105,68.3348543656468,False
14,-0.8480657386779786,42,1119,66.83191255437467,False
10,-0.12233146667480477,43,1129,52.341520514542005,False
12,-0.8715559101104737,44,1141,37.15845535741971,False
88,-5.10940634727477,45,1229,49.59404256771437,False
98,0.6819913673400873,46,1327,69.992295159682,False
35,-1.5470407867431644,47,1362,70.79700782670048,False
23,-1.3015758705139162,48,1385,65.38342387160397,False
12,-1.1099999999999999,49,1397,65.48892983168348,False
4,-1.7074721145629883,50,1401,47.00158565625438,False
11,-1.243888533115387,51,1412,63.67020962422202,False
7,-1.12813383102417,52,1419,66.27762891461826,False
7,-1.06,53,1426,69.86880143163786,False
17,-0.4983607864379884,54,1443,65.20088661950709,False
