episode_length,episode_return,episodes,steps,steps_per_second,success
86,-11.553213149471038,1,86,48.79557245729053,False
18,-0.8733139695172369,2,104,67.61001951353185,False
23,-6.668737677045198,3,127,62.92717279419919,False
107,-16.30129000493473,4,234,70.2132173852096,False
32,-6.4032558946192895,5,266,49.3507947848027,False
17,-2.4133333333333336,6,283,65.5997909732074,False
64,-4.863608280642142,7,347,74.37696214673878,False
9,-1.7066666666666666,8,356,66.99381329130773,False
70,-16.326136508656205,9,426,69.62466163059962,False
14,-2.0601760878327178,10,440,69.69920508593073,False
16,-0.7010066628030542,11,456,68.69292279976253,False
18,-1.3599285015182532,12,474,73.45877073577017,False
26,-4.801496898319989,13,500,74.99816307568939,False
69,-5.074466491578651,14,569,70.3058097824265,False
63,-10.933460121908261,15,632,66.59915844073359,False
8,-2.8621190155427256,16,640,43.88649873851156,False
8,-2.8149287497359614,17,648,51.80151601698186,False
68,-11.338611711657487,18,716,63.37952336804978,False
9,-2.5417169357500073,19,725,58.30469897550194,False
1,1.0,20,726,45.418952429423804,True
25,-0.3451774545492543,21,751,70.24194704469302,False
21,-5.701610775304944,22,772,66.27822738118618,False
80,-12.102873289894639,23,852,70.25039124613595,False
39,-13.460679932493779,24,891,63.32966157405579,False
43,-6.319324242878711,25,934,73.63893154487153,False
23,-0.9051477199298987,26,957,67.0930417105114,False
29,-2.403216356013601,27,986,48.74496249194996,False
15,-3.4384112718691515,28,1001,53.38442570717994,False
20,0.011128263345938194,29,1021,66.71704811980203,False
16,-4.499618131859997,30,1037,65.7825561038345,False
9,-2.099968005148276,31,1046,58.0158915074186,False
24,-8.251525733833004,32,1070,64.56019948486932,False
36,-7.729447987417111,33,1106,60.67019262024853,False
47,-11.979387862597564,34,1153,67.96943221202713,False
25,-4.717989760792246,35,1178,62.670883072437746,False
7,0.49981365566462443,36,1185,63.43033927306037,False
45,0.26041573363699433,37,1230,52.361980295145585,False
37,0.6487882867064725,38,1267,60.32065760291176,False
39,-4.836252081696312,39,1306,70.49578519491534,False
133,-14.840173704863345,40,1439,64.41614886319573,False
12,-2.4761108169846047,41,1451,63.708204963330694,False
5,-1.287081063977087,42,1456,48.464971170400844,False
39,-6.40346344896049,43,1495,68.59562312421556,False
13,-4.086538592594938,44,1508,63.65206712388735,False
27,-3.17680590911905,45,1535,52.01874299216317,False
52,0.03632077368078557,46,1587,64.92433009441696,False
34,-3.288730183121567,47,1621,65.80302237480217,False
15,-3.308530610741556,48,1636,65.07108068498096,False
12,-0.7089221965937915,49,1648,64.39047006190647,False
60,-7.804872813846863,50,1708,67.44316628664967,False
29,-2.6432349310286734,51,1737,68.79501559887697,False
22,-1.7665953269482297,52,1759,72.53153236005946,False
67,-11.837675325808457,53,1826,74.01796122028412,False
16,-0.8452771133203212,54,1842,66.13170197166666,False
20,-5.259314551759543,55,1862,70.65292790857897,False
47,-1.7605140429571666,56,1909,72.30927307153668,False
95,-11.888806049158632,57,2004,71.74390059896585,False
36,-3.4980909701349954,58,2040,67.93464738037927,False
30,1.759759117280837,59,2070,6.7513357227244635,False
120,-12.538824008776432,60,2190,50.00960614029893,False
119,-4.836384966925317,61,2309,56.896748673684115,False
32,-2.857482913486025,62,2341,60.693719888902656,False
16,-5.147139823333455,63,2357,43.82422212484793,False
6,-2.5385652710574718,64,2363,59.85335990752941,False
17,-2.8635188167249526,65,2380,72.71173982386797,False
20,-6.173057749650677,66,2400,49.45357990731368,False
8,-0.7106620626588016,67,2408,54.386369382978586,False
6,-2.441795813749896,68,2414,54.79419699137126,False
12,-1.587825842554557,69,2426,66.10659980482576,False
60,-11.647505501092331,70,2486,61.84639544271009,False
30,-5.192670858030166,71,2516,52.93966779421417,False
11,-3.06726422731577,72,2527,66.95693263286216,False
23,-3.76576486422641,73,2550,51.56563609151165,False
29,-0.3143915301747362,74,2579,67.20961352825174,False
12,-4.323128445100874,75,2591,60.42620872471619,False
55,-10.47573261929511,76,2646,52.9763344971804,False
29,0.04616940112835444,77,2675,47.648299509198466,False
28,-6.86236551890193,78,2703,46.898522088013415,False
26,-1.9740223725216561,79,2729,46.18567375484031,False
70,2.8832523973473645,80,2799,53.21016273430901,False
14,-5.232320133798103,81,2813,55.911965698844156,False
44,-7.672444961688678,82,2857,55.15301419488879,False
31,-4.021562677880893,83,2888,64.15106136078373,False
7,-0.28819065113623,84,2895,56.871367831788554,False
24,-1.4030012702200103,85,2919,48.51000046262742,False
24,-6.1708255702820205,86,2943,57.409917686249614,False
10,-0.7108075007563261,87,2953,30.346799563570272,False
24,-3.092011015546508,88,2977,68.1017880700615,False
15,-2.236666666666667,89,2992,65.30098447773896,False
35,-3.8686617787763264,90,3027,54.356112444088986,False
11,-1.8833333333333333,91,3038,66.23475787893014,False
70,-10.39941689257579,92,3108,53.4433650242369,False
8,-2.153077447707421,93,3116,60.218754542729926,False
39,-0.28629592713178065,94,3155,54.60952277301698,False
11,-2.6296037458957917,95,3166,67.06896406356073,False
34,-8.670944445697383,96,3200,55.60345038002451,False
5,-1.3533333333333333,97,3205,66.522824525064,False
15,0.5337520834952647,98,3220,62.49763825519956,False
46,-9.736981119263517,99,3266,60.22987862744119,False
5,-1.3533333333333333,100,3271,67.28757981198062,False
18,1.7377571899062016,101,3289,58.60558440651126,False
19,-5.361693823345522,102,3308,46.416841791350784,False
6,-0.21461826384041038,103,3314,62.42855370937254,False
14,-0.5056782273709999,104,3328,57.6306336103295,False
39,-8.610925459894691,105,3367,55.38060394020658,False
18,-5.993982266805426,106,3385,61.89819169241062,False
6,0.0417301996742907,107,3391,51.83507244108112,False
33,-6.5369356954269735,108,3424,52.47616769227678,False
21,-2.766666666666667,109,3445,69.78112210217091,False
18,-1.823316944509413,110,3463,46.00253357535742,False
14,-1.5240672394870565,111,3477,58.95898091371965,False
18,-2.501666666666667,112,3495,74.10547476206929,False
33,-4.725647507825347,113,3528,60.9618682307488,False
16,-1.3546797860201814,114,3544,65.83276174630953,False
5,-2.9620473646565637,115,3549,30.5823644272821,False
39,-6.312245349782091,116,3588,60.49819239032386,False
18,-2.455195325490372,117,3606,47.92516568062362,False
14,-2.1483333333333334,118,3620,72.91126767208947,False
45,-10.91350539823081,119,3665,57.561371625913885,False
49,-7.2728290935904605,120,3714,63.68676856753117,False
44,-6.95451312858744,121,3758,59.11614608192043,False
32,-2.10966465388777,122,3790,70.41875682714635,False
6,-1.8150800307591757,123,3796,67.58248203409494,False
25,-4.744932895891104,124,3821,51.733220977349056,False
11,-1.8833333333333333,125,3832,71.68636420136731,False
11,-0.8991546154472172,126,3843,71.93415478738913,False
58,-7.404984290644913,127,3901,54.64071256969638,False
18,-2.4282687529023494,128,3919,56.99415016611898,False
14,-2.1483333333333334,129,3933,73.53396798681604,False
9,-1.7066666666666666,130,3942,70.25360259509678,False
6,-1.4416666666666667,131,3948,36.1783253426873,False
39,-9.990847277294836,132,3987,57.418726584924,False
24,-1.997198528179355,133,4011,51.146332354915266,False
22,0.3465793332713454,134,4033,68.68757932316359,False
17,-2.4133333333333336,135,4050,51.372194828137744,False
28,-1.709343343255071,136,4078,65.95491677608561,False
8,-0.4137205206881742,137,4086,65.52269070345086,False
11,-0.002678722904802644,138,4097,66.15611964995749,False
3,-0.8532798307897504,139,4100,19.395356364998406,False
21,-1.0068493704043022,140,4121,64.25876149218583,False
21,-4.882258726592075,141,4142,69.2176148946102,False
51,-5.028721492515787,142,4193,56.67673519415887,False
34,-7.631371082111786,143,4227,56.32177340142726,False
33,-3.583518896080647,144,4260,43.69059771054654,False
24,-5.3701573835822725,145,4284,64.80671351361791,False
54,-1.804638499484207,146,4338,60.57088729292554,False
43,-4.976177212215532,147,4381,58.852095643468466,False
33,-4.349228013442034,148,4414,49.57761750826072,False
37,-4.1800000000000015,149,4451,60.15553453756105,False
36,-2.529495216303226,150,4487,65.12956213352611,False
9,-2.3496721825299103,151,4496,60.164059735747415,False
20,-3.7266852866747935,152,4516,50.62658837857591,False
11,-3.11170961653713,153,4527,66.63798786177094,False
26,-3.208333333333334,154,4553,54.85077830914677,False
23,-7.219836009191242,155,4576,62.806682695656875,False
17,-2.8236504345268907,156,4593,72.26025507851493,False
14,-1.346309235964835,157,4607,36.12398247945273,False
88,-10.337493063038618,158,4695,62.94382530241191,False
8,-1.1322148465373396,159,4703,32.848517361892924,False
40,-9.747729908124834,160,4743,69.39441054804624,False
74,-6.797038656263957,161,4817,50.87370596206073,False
18,-0.4741095600126024,162,4835,66.26072669826225,False
15,-2.236666666666667,163,4850,49.75201709997841,False
10,-1.795,164,4860,68.38933112451043,False
1,1.0,165,4861,50.90977945549662,True
24,-2.964930319770068,166,4885,72.82915733361115,False
27,-6.570199337210227,167,4912,54.06620503164351,False
72,5.640898334617625,168,4984,57.141278974389444,False
20,-2.8653111821097017,169,5004,51.2866777408841,False
24,-1.8983472585488153,170,5028,74.05453784374902,False
12,-3.7366374309374355,171,5040,62.98423631141951,False
62,-0.1259415118063698,172,5102,53.640269819706276,False
28,-8.459315170394138,173,5130,66.00685132842143,False
21,-5.236780097450898,174,5151,49.307433981339614,False
14,-2.961784462676155,175,5165,66.27583357975978,False
49,-6.508955505054425,176,5214,60.622235331943045,False
17,-1.565521985088857,177,5231,69.51415178954429,False
30,-8.128363577798114,178,5261,55.32239159012869,False
28,-5.267636364778157,179,5289,62.729921198016626,False
15,-1.430289000124233,180,5304,41.70800150883057,False
24,-1.7663641839335587,181,5328,59.385222023609366,False
11,-4.257699514381599,182,5339,55.891940872759164,False
23,-3.624264587854685,183,5362,44.79670710346583,False
68,-7.9538646936473345,184,5430,60.60291956254795,False
12,-1.9716666666666667,185,5442,85.13731473556366,False
34,-1.0155191877706793,186,5476,53.93256686433499,False
10,-2.880474540820812,187,5486,63.768225231169666,False
24,-2.5159943570296566,188,5510,51.25260607862685,False
27,-5.450431161013215,189,5537,61.44613394566298,False
27,-5.071100418763058,190,5564,36.735628589547915,False
9,-1.7066666666666666,191,5573,62.07662896995391,False
8,-1.0818595945800142,192,5581,59.753133731397504,False
76,8.526406871304692,193,5657,39.00099005200832,True
26,2.0816791050631305,194,5683,57.916592003985315,False
59,-2.86893707844543,195,5742,59.465610051080596,False
33,-4.685654245476773,196,5775,54.19014388894805,False
19,-2.774907413687278,197,5794,62.19326542095607,False
56,-9.412247302399324,198,5850,51.725540475367275,False
16,-1.908876698771497,199,5866,54.86502126045343,False
30,-0.8483159072065043,200,5896,54.68458468890455,False
13,-0.8813072454312851,201,5909,35.213405982654834,False
8,-1.6183333333333332,202,5917,49.08747681270518,False
8,-2.2351822313704552,203,5925,47.50545355698769,False
30,-4.747058124199058,204,5955,50.582801727135575,False
37,-3.6531891070950224,205,5992,66.19233275894426,False
13,-2.06,206,6005,38.36878141048285,False
29,-5.847219027228701,207,6034,67.29640283072995,False
9,-1.2903483609546254,208,6043,72.06171361811549,False
41,-6.983458051297665,209,6084,57.70247165736033,False
18,-2.496303515602957,210,6102,45.69495087174359,False
143,2.706288938136942,211,6245,58.92841340884763,False
44,0.9480871568667069,212,6289,51.478882986750456,False
83,-9.521118027902487,213,6372,29.603937109182702,False
91,-19.445429272338533,214,6463,53.16578143314921,False
5,-2.851291604390525,215,6468,48.49354853628081,False
22,0.9494475906207711,216,6490,58.37786979366018,False
46,0.8994482483977353,217,6536,48.13719868715359,False
12,-1.9716666666666667,218,6548,45.7767263936524,False
22,-8.85468911125441,219,6570,51.544864153477135,False
28,-5.548384147756608,220,6598,54.02499749289039,False
22,-2.426689105225337,221,6620,56.12593662659323,False
13,-0.19686422350934585,222,6633,62.304550523794724,False
43,-6.604838191696559,223,6676,55.70200527756639,False
26,-1.8653378116616837,224,6702,47.9451030460986,False
27,-3.127933367151815,225,6729,61.855119262848,False
11,1.4491702489968405,226,6740,58.04636931392136,False
9,-1.7066666666666666,227,6749,36.905915605321276,False
74,9.219059085990027,228,6823,49.61150350533393,True
23,-4.6319620123506775,229,6846,64.65823806303423,False
20,-3.536005652110195,230,6866,49.695574464202885,False
