episode_length,episode_return,episodes,steps,steps_per_second,success
11,-2.4949349322323213,1,11,15.99040104806581,False
49,3.0600838808570874,2,60,61.487804513194746,False
65,-13.795937621025688,3,125,66.69234261738137,False
89,-20.503945897355592,4,214,65.98638954577964,False
26,-0.12073354510080803,5,240,68.09015841221893,False
46,-9.944556084273847,6,286,69.41496182568942,False
42,-8.871039461813169,7,328,68.265952388426,False
8,-2.0445779543280627,8,336,69.2685178495121,False
107,-9.927318583501267,9,443,69.95734943342391,False
37,-9.210159867602673,10,480,66.17322468005887,False
13,-3.3129553877447373,11,493,70.20243698950426,False
9,-1.7066666666666666,12,502,70.49869176192868,False
26,-3.208333333333334,13,528,76.20891149997205,False
23,-3.525997080884988,14,551,71.98764847094607,False
31,-4.1361379070258995,15,582,74.19603054271467,False
8,-1.6183333333333332,16,590,69.15145982016813,False
10,-1.392192857198773,17,600,65.70230896957925,False
46,-3.323086166130961,18,646,68.09062422469081,False
13,-2.06,19,659,73.68949458200778,False
17,-3.354075750790969,20,676,69.8286658910447,False
45,-11.739765409763189,21,721,63.29617262475465,False
23,-1.3618933162307625,22,744,71.66922009968567,False
7,-0.5302488974630213,23,751,55.34916005753573,False
24,-5.2110121622535495,24,775,61.68683771242839,False
45,-4.8866666666666685,25,820,67.15463660030677,False
12,-1.3637862174636088,26,832,66.55072525089582,False
33,-4.924645606819286,27,865,73.28727437926997,False
15,-2.7296243353451723,28,880,71.3462611417296,False
9,-1.3228149722569578,29,889,57.36828939509762,False
30,-1.4730849273060596,30,919,69.68517123742856,False
9,-3.8649362830573515,31,928,52.06858662502879,False
11,-0.9784193257695561,32,939,63.47600526658292,False
9,-1.0700043405328783,33,948,55.550507034916315,False
17,-3.5539953987761934,34,965,66.92016488095685,False
20,-2.522493160383486,35,985,69.617603976912,False
6,-1.604116549927116,36,991,60.19264843764949,False
41,-8.912476920986055,37,1032,59.0352392389011,False
15,-2.31271550696498,38,1047,50.53289018186024,False
33,-5.02539118422917,39,1080,63.993194379074936,False
63,-9.180498736218667,40,1143,72.7633576519325,False
12,-2.756711761442971,41,1155,69.25484066266718,False
24,-3.031666666666667,42,1179,67.47724477162322,False
39,-3.9045811281528557,43,1218,70.3794058158641,False
14,-1.538219370593092,44,1232,65.72098697449741,False
23,-3.5003097079846075,45,1255,74.52352726236155,False
59,-5.89445198228011,46,1314,73.52230159826611,False
38,-0.8175637745081925,47,1352,67.84458496240282,False
38,-6.68656011505993,48,1390,61.6417709798959,False
8,-2.5063236028317664,49,1398,68.7275349020122,False
55,-3.201297492995259,50,1453,74.05299957594433,False
88,-11.331519284078722,51,1541,72.28321171199576,False
7,-1.4074708079762184,52,1548,67.68889985268045,False
80,1.810655261016076,53,1628,72.00908203229787,False
33,-6.353091827551732,54,1661,68.37876964483677,False
25,-0.2735684129746432,55,1686,63.52722930486195,False
43,-5.957114536831917,56,1729,74.20288023329536,False
6,-2.6836436847881955,57,1735,62.58380459272743,False
28,-2.5423976514917555,58,1763,72.86960158297103,False
17,-1.171439979421259,59,1780,69.57295810488951,False
7,-1.112068691175099,60,1787,68.16412251843975,False
17,-0.5955365593191172,61,1804,65.86915991453094,False
10,0.564122839067307,62,1814,59.81455125224966,False
19,-2.5900000000000003,63,1833,74.36986822949719,False
23,-4.203249840916208,64,1856,76.4132011580519,False
44,-9.235086776348478,65,1900,70.29582089836497,False
26,-3.208333333333334,66,1926,74.24492021789023,False
8,-1.9879920481395867,67,1934,73.78914266362312,False
11,-3.017324037093338,68,1945,66.32464143961796,False
12,-3.032456251192422,69,1957,66.23936197513967,False
10,-2.1267181654290583,70,1967,64.24271386647551,False
56,-1.0748493886301351,71,2023,67.13921092333734,False
14,-0.8992362567244803,72,2037,66.89182868384749,False
28,-5.958437863537126,73,2065,4.789339394583486,False
16,-4.592587715222374,74,2081,38.31494953485743,False
31,-9.471895027922487,75,2112,31.853355930442845,False
20,-2.6783333333333337,76,2132,24.889308757565203,False
5,-1.3533333333333333,77,2137,60.87682987363966,False
8,0.04139545177231119,78,2145,67.86625136523604,False
31,-4.899224496750788,79,2176,34.96156507097667,False
15,-5.151536466473492,80,2191,62.99607692353906,False
34,-5.991546107884983,81,2225,27.50207866749285,False
12,-3.853577939115866,82,2237,41.62423306160896,False
74,-17.763272747377883,83,2311,31.275225433517857,False
16,-0.8373070921250543,84,2327,52.96854115806614,False
4,-1.265,85,2331,6.618941361755581,False
35,-9.12067393625563,86,2366,62.4951904881713,False
30,-7.049200048500162,87,2396,27.792811676817458,False
4,-2.394573537455562,88,2400,54.25376088165673,False
18,-2.501666666666667,89,2418,23.092325597400116,False
11,-2.4986195272846037,90,2429,60.15401043303211,False
11,-1.8833333333333333,91,2440,64.1215015357247,False
54,-9.406341280748835,92,2494,27.282267088967743,False
17,-3.566917837950674,93,2511,57.00764572081886,False
16,-2.4748736913177423,94,2527,68.16972120133518,False
30,-5.634349627166803,95,2557,26.801189714473637,False
17,-2.4133333333333336,96,2574,21.45523457383011,False
6,-1.3481466421168826,97,2580,70.7346266492026,False
16,-4.908249433849094,98,2596,59.31546444238012,False
17,-3.7913749266867165,99,2613,21.098339637402823,False
9,-2.4117676809109527,100,2622,60.153705432977766,False
25,-0.7385238801066347,101,2647,61.57814190193078,False
25,1.7687941701885745,102,2672,20.029094998838644,False
54,-2.440876734898909,103,2726,26.847239780193753,False
16,-2.325,104,2742,20.298326017625453,False
17,-3.424294729737893,105,2759,63.149215053820576,False
64,1.3679804030427896,106,2823,32.12758568069709,False
6,-0.8953773805100718,107,2829,56.506827076583164,False
14,-2.1483333333333334,108,2843,71.90804822912509,False
17,-4.995724335097468,109,2860,21.621434895991268,False
38,-3.42869068817025,110,2898,36.50972933511304,False
35,-10.913396651163712,111,2933,34.234704931012004,False
18,-2.5786433674752756,112,2951,72.99322058806467,False
55,-4.252959728943532,113,3006,40.445930216146586,False
48,-3.5781943050438443,114,3054,27.76584937175134,False
5,-1.3533333333333333,115,3059,66.58872614235682,False
33,-7.682547124948964,116,3092,33.91903074502654,False
15,-4.037102179260591,117,3107,64.54662132007817,False
17,-4.032979361253068,118,3124,67.2488048069913,False
68,-4.418069612683695,119,3192,34.335392522656804,False
