episode_length,episode_return,episodes,steps,steps_per_second,success
10,-1.795,1,10,12.548099806706254,False
19,-2.5709463655502565,2,29,68.24480232655725,False
14,-2.870615557200731,3,43,55.674630986513755,False
29,-1.7071473454166708,4,72,62.765621508823116,False
24,-6.35270718086946,5,96,65.03313635385757,False
1,1.0,6,97,51.097704790214905,True
31,3.2930786920587085,7,128,67.12611757757607,False
34,-9.519475109018591,8,162,64.2906058737183,False
23,1.9156224685178782,9,185,59.14435186076439,False
14,-2.0404744412178273,10,199,73.79948295342433,False
200,-17.96278658175343,11,399,67.58998574009458,False
200,-22.352841673248687,12,599,77.6048519314603,False
4,-1.399962394471787,13,603,66.12153720643353,False
8,-0.6954415659213156,14,611,60.12164648840997,False
26,-7.710728583371604,15,637,63.620540003815414,False
6,-1.21265980998675,16,643,68.14300220140858,False
18,1.8933549466836084,17,661,64.79335120717059,False
200,-23.081685208479765,18,861,73.1263366404301,False
12,-1.9097044193582937,19,873,72.8639502462498,False
200,-18.855893645683427,20,1073,78.86631032734385,False
200,-15.198253099644436,21,1273,76.34328691000464,False
16,-4.426673158768658,22,1289,47.02665028776369,False
4,-1.265,23,1293,66.55486133425367,False
200,-21.686241596671525,24,1493,78.08928585225792,False
12,-0.5278702846256003,25,1505,68.27314876358162,False
200,-17.66666666666664,26,1705,80.2274438116253,False
200,-16.13870470911772,27,1905,79.53998348631438,False
5,-1.9875773695932317,28,1910,62.69568934848444,False
200,-21.432827545631852,29,2110,30.073768604644577,False
170,-16.72798700779208,30,2280,64.62667066796446,False
5,-1.0109162844687354,31,2285,63.272047065922465,False
11,-0.616006686929426,32,2296,64.20216357326342,False
8,-2.8333543845069156,33,2304,32.28756481918946,False
35,-6.1911131879315215,34,2339,67.23247955784304,False
6,-3.09322931889476,35,2345,61.04623983000277,False
12,-0.31994345978117233,36,2357,38.672327870363965,False
8,-1.0802907796745225,37,2365,66.80516770760124,False
7,-1.5299999999999998,38,2372,67.54035035253793,False
9,-1.5883859982713775,39,2381,66.20355248758312,False
5,-1.3533333333333333,40,2386,63.23408181541328,False
3,-1.9149293608687799,41,2389,49.511149234879575,False
7,-0.5256559138684671,42,2396,60.57456457063632,False
16,-4.509017932100461,43,2412,43.621485716662896,False
9,-3.306324698485448,44,2421,60.8533554293489,False
10,-2.6859422649952833,45,2431,63.72491791871332,False
11,0.3286597660935566,46,2442,66.86833252895403,False
8,-2.590315940039794,47,2450,34.973517443799615,False
4,-1.5294632832173258,48,2454,46.37087934108152,False
9,-0.04084838549196523,49,2463,66.81381419650822,False
191,-17.783333333333292,50,2654,63.85598273563009,False
8,-1.6183333333333332,51,2662,64.80103976964391,False
16,-3.9684787345730714,52,2678,66.51607275956674,False
8,-2.347899065604292,53,2686,63.191020715630884,False
15,-0.8600196706716472,54,2701,40.63982905508103,False
200,-17.66666666666664,55,2901,61.621843110317066,False
20,-6.0820694785622695,56,2921,50.77428808869966,False
8,-1.9908012902380585,57,2929,62.79133201092855,False
4,-1.265,58,2933,61.740866134777875,False
6,-1.4416666666666667,59,2939,60.72496941530755,False
9,-0.5856658397247707,60,2948,38.25380093372801,False
9,-1.7066666666666666,61,2957,44.05827792308743,False
27,-7.833021332896613,62,2984,68.14076759459549,False
10,-1.795,63,2994,67.15022854078111,False
19,-1.7863497209503556,64,3013,34.23223015711079,False
12,-2.296657343905883,65,3025,59.719775936554115,False
8,-0.029722118249527085,66,3033,52.106310785901634,False
5,-1.3533333333333333,67,3038,48.24543806535322,False
9,-1.7066666666666666,68,3047,54.392756227278554,False
7,-0.34573243975689394,69,3054,22.2770168351599,False
10,-1.7043855038184108,70,3064,55.5276598786794,False
4,-1.265,71,3068,59.925905288499315,False
25,-10.030377212202408,72,3093,51.97428487873546,False
6,-1.1095491963690183,73,3099,18.80547414546808,False
10,-0.6488708308376682,74,3109,60.86031147657541,False
50,-12.992711008258159,75,3159,48.75107950127332,False
8,-2.4676243093159513,76,3167,63.43988187182488,False
5,-1.7200455873394007,77,3172,74.1417748190782,False
1,1.0,78,3173,34.22915714565515,True
5,-2.501435448101913,79,3178,55.78407250073815,False
9,-0.7061167885112987,80,3187,57.35199044658566,False
5,-1.3533333333333333,81,3192,64.87468369310342,False
8,-1.4277890206658652,82,3200,29.384969318437573,False
10,-1.795,83,3210,57.10179692892471,False
9,-2.23799247680598,84,3219,61.736019389847804,False
8,-1.9709177433793716,85,3227,45.98040712293852,False
12,0.9261056738809725,86,3239,49.30864161246616,False
6,-0.4307614597992644,87,3245,56.97144163702921,False
11,-1.3116013484482005,88,3256,34.81275484795895,False
8,-0.2894152642681116,89,3264,58.200164777507005,False
99,-34.20856047024132,90,3363,47.99677090261456,False
13,0.41501991063834964,91,3376,55.75473050561321,False
9,-1.7066666666666666,92,3385,50.871701988307876,False
7,-0.7498898265887233,93,3392,60.875618135713054,False
6,-1.03387026781866,94,3398,36.830694118404644,False
4,-1.2460801399871706,95,3402,38.04711095589386,False
9,-3.272520122643369,96,3411,58.5150113468669,False
10,-0.5543931500193944,97,3421,69.98449907311465,False
8,-0.16958042042530797,98,3429,64.98049293442581,False
12,-5.578068248875229,99,3441,52.73659493900337,False
12,-1.510678726651191,100,3453,42.73411978067323,False
59,-8.985751994490663,101,3512,62.19741849379883,False
11,-1.8833333333333333,102,3523,69.96570360979516,False
11,-2.5803500609822185,103,3534,61.032350065943604,False
3,-1.924849829356041,104,3537,52.40543590982354,False
8,-1.2038391799091714,105,3545,63.554153108344096,False
8,-0.35539099264865337,106,3553,32.55038288939376,False
10,-1.9999575330945263,107,3563,65.63886841409271,False
6,-1.4571910276575823,108,3569,65.10535520256636,False
14,-0.5601990549976588,109,3583,69.31800914634866,False
16,-2.120734405710306,110,3599,47.32762185781868,False
12,-1.5568220643202462,111,3611,60.85683815972432,False
19,-0.48125960365216436,112,3630,57.013593099856344,False
20,-0.8344097763639022,113,3650,46.402378143121155,False
25,-6.598137520032611,114,3675,57.33827513159233,False
10,-0.754196219719989,115,3685,58.424139093418916,False
17,-6.6102643783498465,116,3702,43.264358972647585,False
4,-1.6310838049611474,117,3706,60.09139132147782,False
8,-0.5125359205683981,118,3714,54.69942438701537,False
5,-1.3533333333333333,119,3719,59.1753857267012,False
7,-1.3360610586703099,120,3726,61.44060000585943,False
70,-26.44715456540854,121,3796,55.70714562459847,False
36,3.601195055817324,122,3832,50.395448637975676,False
17,-2.531074632473759,123,3849,45.723601885036864,False
9,-2.3807352413809646,124,3858,52.34693520965823,False
10,-3.795409973533661,125,3868,65.07377285717389,False
13,-3.62019942390893,126,3881,63.57807052524306,False
9,-2.784996468086316,127,3890,68.61398027122969,False
6,-1.927102288457908,128,3896,61.3133615627878,False
5,-0.9563756790123465,129,3901,25.591908808128288,False
3,-1.7666165604037274,130,3904,50.66114810728981,False
11,-0.050121954123959256,131,3915,63.906121572674195,False
11,-5.026329690539947,132,3926,63.012458446805084,False
12,-5.990558441365396,133,3938,60.08364400800771,False
5,-1.3533333333333333,134,3943,69.57689564222086,False
22,-7.642315745114512,135,3965,44.04706834801097,False
5,-1.007496316424885,136,3970,60.36950251305464,False
11,-4.158415664165114,137,3981,60.24654189229952,False
6,-2.0045096810321823,138,3987,59.73388021334017,False
5,-0.9571723473325002,139,3992,67.6005634583708,False
4,-1.265,140,3996,59.06285006178337,False
6,-2.6916194128086697,141,4002,28.247388058026193,False
1,1.0,142,4003,55.7315935635605,True
5,-1.3533333333333333,143,4008,67.0923324492845,False
5,-1.3533333333333333,144,4013,65.19819186838194,False
5,-1.3533333333333333,145,4018,67.44143118546175,False
4,-0.895297042921434,146,4022,63.236751247606556,False
9,-3.6174834789758865,147,4031,59.714839832318276,False
6,-1.030695644641706,148,4037,69.89264130821188,False
19,-0.0022740757040029536,149,4056,43.046619384321204,False
12,-1.3494411928294425,150,4068,60.74292451976283,False
45,-13.607583885345854,151,4113,47.936168980717206,False
4,-1.265,152,4117,67.07639902287293,False
9,-2.1699284303427433,153,4126,63.187107055097655,False
5,-1.0533218199387224,154,4131,69.92557816959642,False
8,-3.177469437516252,155,4139,64.56475441695433,False
10,-3.408786823810024,156,4149,41.96167098191597,False
4,-1.265,157,4153,39.987548890387814,False
16,1.6930294941787332,158,4169,52.720699686467185,False
14,-6.4482154721235645,159,4183,54.31488435937945,False
6,-0.13058482661957171,160,4189,62.579135831940796,False
8,0.29260035452864264,161,4197,65.46695282319429,False
4,-1.265,162,4201,21.036575610074156,False
11,1.2102416097056152,163,4212,59.31805254848315,False
11,-1.3723868302864755,164,4223,41.514310394471636,False
6,-1.6354746225129413,165,4229,20.305040875012505,False
6,-1.4416666666666667,166,4235,34.8296620256318,False
1,1.0,167,4236,31.35834442334435,True
5,-1.3533333333333333,168,4241,39.718186088089574,False
5,-1.7193716673868178,169,4246,33.20469360321604,False
8,-2.59932407908995,170,4254,17.808761814990607,False
6,-1.4416666666666667,171,4260,58.468063751684404,False
6,-1.1749780019851193,172,4266,64.64693627482461,False
5,-1.0048319035816573,173,4271,68.79652532197852,False
11,-5.317920383392143,174,4282,61.23445359637085,False
8,-0.34691792770215435,175,4290,69.17954617614436,False
