episode_length,episode_return,episodes,steps,steps_per_second,success
12,-1.9716666666666667,1,12,17.74173351470457,False
19,-1.8650892926694422,2,31,63.37005730134975,False
22,-4.31731362364931,3,53,66.85098934727422,False
60,-13.450798627363959,4,113,70.92790618037617,False
25,-6.360316324684948,5,138,65.07922518821024,False
23,-0.6521904695475408,6,161,64.55469841592745,False
14,-1.9500147377881452,7,175,65.09161893634639,False
67,-11.75188414902323,8,242,64.74570379279042,False
11,-0.782558826080775,9,253,63.69315086647827,False
10,0.028737581833666148,10,263,61.95170657638975,False
26,1.2410343232113838,11,289,64.16282304431834,False
18,-4.563803374371913,12,307,66.73408537652543,False
26,-3.208333333333334,13,333,76.18223898520462,False
34,-6.816707013253874,14,367,73.36041409239297,False
30,-5.2882735228349755,15,397,69.7466642425425,False
8,-1.9066413622392953,16,405,69.14105797603152,False
4,-0.8707959520489518,17,409,47.131512560188334,False
60,-7.869332796411013,18,469,69.35825389939647,False
14,-2.1483333333333334,19,483,73.68964396461607,False
20,-1.6362265543749381,20,503,67.2830463503919,False
84,-14.599098111254923,21,587,72.59930763904916,False
23,-5.50531037661531,22,610,70.83864818444236,False
26,-3.0491122081391815,23,636,71.81885500154765,False
6,-1.4416666666666667,24,642,67.60408646807413,False
28,-3.3850000000000007,25,670,50.918983931367194,False
94,-11.876855976821709,26,764,41.95336320522273,False
5,-1.3533333333333333,27,769,52.55335144291972,False
11,-2.3980426779656634,28,780,60.93779338072332,False
22,-1.5061293714009716,29,802,62.255304621919606,False
1,1.0,30,803,50.534391980626275,True
32,-7.778479950142967,31,835,52.59824442255971,False
23,-3.4751864666615906,32,858,73.58007131552353,False
11,-2.8618328184416812,33,869,67.33127757289898,False
12,-0.33796784745485864,34,881,66.29633610470079,False
26,-0.03597088507266122,35,907,71.93449556692035,False
7,-1.308073450092141,36,914,67.35611868940614,False
5,-1.3533333333333333,37,919,68.20183939744774,False
12,-1.7657563303592902,38,931,66.84717957435957,False
39,-10.469421426852406,39,970,65.34984719009552,False
29,-3.473333333333334,40,999,79.19335487088537,False
13,-2.3089037527330323,41,1012,75.64003601249063,False
26,-0.8793294330122109,42,1038,72.48213168852836,False
34,-5.836873953538423,43,1072,73.57019683022497,False
22,-6.107528404356365,44,1094,62.78449620842278,False
43,-1.2021678697400482,45,1137,72.7196555681086,False
27,-5.318859938565258,46,1164,71.91112059374858,False
7,-1.5299999999999998,47,1171,65.80111386277301,False
16,-2.325,48,1187,71.54310569071022,False
29,-2.301639666775518,49,1216,78.85558323787149,False
14,-3.279639783481889,50,1230,70.72437487127665,False
15,-0.29838337385940594,51,1245,68.0093439860251,False
18,-0.2550728971398566,52,1263,68.72722208011041,False
24,-3.0823745092690946,53,1287,71.39802920655455,False
13,-1.2741408966620869,54,1300,72.72570517027054,False
69,-10.918315064538284,55,1369,68.67176163737628,False
1,1.0,56,1370,42.54721038750254,True
18,-2.787351066326919,57,1388,72.90264804802659,False
16,-0.6592809478441878,58,1404,72.30327595086182,False
22,-2.2674524845202866,59,1426,73.24300567610409,False
7,-2.308265204960663,60,1433,66.78752061509765,False
59,-2.8731820007678355,61,1492,72.4755746613067,False
11,-4.1623994405718845,62,1503,68.22779991866612,False
99,-20.085994608762725,63,1602,68.53844016967402,False
10,-2.4713050184812753,64,1612,66.33607525767815,False
50,-5.08536570687271,65,1662,72.53343663209155,False
2,-0.9703871268828308,66,1664,52.3049027615835,False
10,-4.200946705002343,67,1674,51.28238234272831,False
11,-1.374337370250094,68,1685,72.10379543472621,False
12,-2.2050735483186115,69,1697,73.83471423541837,False
14,-3.550648348638383,70,1711,64.00111609089166,False
12,-0.6242371229427349,71,1723,69.25731835857411,False
14,-2.1483333333333334,72,1737,75.3042949678945,False
22,-0.19436159111511198,73,1759,63.018870553236184,False
46,-8.64439512028499,74,1805,78.12288671415203,False
14,-1.4841140861153708,75,1819,65.12482684657247,False
40,-1.5706471776935405,76,1859,74.83881558404482,False
20,-2.142628566622734,77,1879,75.71752226320132,False
14,-2.1483333333333334,78,1893,76.89500577495737,False
18,-4.334426711770282,79,1911,68.95753900113259,False
14,-1.7409973508353511,80,1925,72.64166857383204,False
9,-2.9026132135927423,81,1934,61.54136696511833,False
14,-3.351689251191455,82,1948,72.98476300563665,False
12,-1.4718170346772497,83,1960,70.11883171613461,False
24,-1.3382910005471627,84,1984,71.10436020885604,False
47,-1.2956505928640332,85,2031,70.75650325584535,False
5,-0.10508156192858475,86,2036,65.78557402144385,False
32,-5.482465508434467,87,2068,6.492622607286334,False
26,-0.9984254877388324,88,2094,46.95788977812838,False
15,-3.832337018136284,89,2109,52.449648735372314,False
28,-5.097324089030675,90,2137,66.22997333104747,False
28,-1.7525310404594932,91,2165,54.19117440770191,False
24,-7.151688333947034,92,2189,53.43981449039007,False
8,-1.9212118463117767,93,2197,63.835021107481694,False
26,-4.862741424756494,94,2223,54.0952724880861,False
14,-1.6034292454846524,95,2237,41.40898243792911,False
23,-0.34852893624397474,96,2260,56.37060657323084,False
5,-1.2757881296134201,97,2265,52.01953629817412,False
35,-5.074919200373587,98,2300,57.36271010270928,False
45,2.022925566500886,99,2345,58.474457966222786,False
9,-2.0169881029652625,100,2354,30.181314622157263,False
24,0.05674320707191671,101,2378,57.61515413237544,False
44,-5.603783309635483,102,2422,59.4678315161561,False
55,-9.097149074690211,103,2477,52.84609195886793,False
13,-1.593902024116149,104,2490,74.97841374435868,False
39,-8.70761919429662,105,2529,51.59960102683227,False
17,-1.7415122605647766,106,2546,61.762953402658376,False
7,-1.5299999999999998,107,2553,71.33586020564853,False
13,-2.06,108,2566,44.91762321753672,False
20,-2.4762938075731533,109,2586,74.04210773457987,False
20,-2.4239143903776887,110,2606,47.5895927719893,False
20,-5.149600553285058,111,2626,50.78163421712479,False
10,-1.3988038753260814,112,2636,70.38095925281445,False
