episode_length,episode_return,episodes,steps,steps_per_second,success
11,-1.6445425439273464,1,11,17.872175983278055,False
16,-2.2274958479130813,2,27,62.589057781375736,False
13,-0.7306477981086319,3,40,67.14795443993857,False
12,-1.9670982790424625,4,52,73.46763472031249,False
19,-2.6866034919022868,5,71,66.15764245285055,False
1,1.0,6,72,49.9345683127768,True
29,-1.4084722019236973,7,101,64.7911806943456,False
16,-1.7987758358931947,8,117,70.56514479190764,False
46,-9.520086624242408,9,163,70.98995261277325,False
37,-7.492370597406365,10,200,66.54028624595885,False
13,-2.5299829372172686,11,213,67.54882508597537,False
8,-2.019925156792664,12,221,59.9395003617331,False
30,-9.627903712503832,13,251,64.32258130476123,False
28,-2.7081485286584206,14,279,73.40623837796922,False
52,-1.3818674888683917,15,331,74.23236127282622,False
43,-11.089431523437204,16,374,68.12412255122669,False
8,-3.0532212691770066,17,382,61.8642595337655,False
12,-3.6158621181594346,18,394,69.67986521340057,False
13,-2.06,19,407,74.29737507630593,False
20,-3.9075534185389404,20,427,72.49764278744813,False
45,-1.5535115625545088,21,472,76.88521945711311,False
11,-0.720721391311343,22,483,58.85691104619271,False
26,-3.4175189290221026,23,509,76.46685407321758,False
8,-1.6183333333333332,24,517,73.36049900413431,False
75,-10.644779077912297,25,592,65.66242753234457,False
62,-0.2728456768535139,26,654,57.135974942039404,False
24,-1.2381595393396814,27,678,61.334207476605904,False
27,-0.3114972354642893,28,705,58.69652955838518,False
18,-4.16578138082329,29,723,59.83647214538768,False
4,-0.02918012169946349,30,727,53.6872629992416,False
7,-0.4530737532028466,31,734,62.24018756770393,False
15,-1.5497253676852711,32,749,69.86920047708843,False
10,-2.2835281392673474,33,759,55.83925212244338,False
61,-5.50276343031135,34,820,63.96812551379008,False
35,-5.011844642121342,35,855,80.72116457917953,False
6,-2.6845329558941033,36,861,62.92258262928523,False
5,-1.734198564934626,37,866,71.08170583729333,False
30,-0.3099539883837328,38,896,74.56982339694204,False
31,-2.734878001936072,39,927,71.7230532629765,False
30,-2.5103938892331956,40,957,78.83145937892931,False
20,2.263234403634742,41,977,70.2348191425409,False
13,-4.244999925655809,42,990,60.68924864627217,False
136,-8.595625569658843,43,1126,73.900924044393,False
18,-0.17479730956783968,44,1144,70.6487758636985,False
23,-3.5127355664040585,45,1167,69.6375675755666,False
52,-0.15789140430204274,46,1219,73.5337200669715,False
7,-1.9002108371092477,47,1226,61.69869899529907,False
15,-5.440107555216255,48,1241,71.80142200107278,False
12,-0.05550475975939495,49,1253,65.26491266743604,False
11,-2.9289507218666997,50,1264,70.71962820241632,False
30,-2.566779978034896,51,1294,66.6448735046773,False
17,-2.7662183193477112,52,1311,78.01076785223907,False
30,-3.5616666666666674,53,1341,81.41939792059758,False
17,-3.1479269538021786,54,1358,75.61961101642878,False
43,-0.8795921725898077,55,1401,74.13477145675765,False
35,-5.41574012390965,56,1436,77.26670740520264,False
44,-6.375380507401018,57,1480,76.46979588234343,False
36,-7.74527702755684,58,1516,76.139556883196,False
23,-3.3824106835767696,59,1539,77.7397709122733,False
75,-16.049114676614792,60,1614,76.97546873818565,False
43,-2.6966773016631542,61,1657,77.68203164134695,False
11,-1.9866086664699432,62,1668,62.86906565794207,False
22,-5.059179651167739,63,1690,79.40216742189692,False
6,-1.2617988331408743,64,1696,62.962253907334805,False
29,-3.473333333333334,65,1725,82.56459101498227,False
19,-6.2510920174738835,66,1744,72.5853772278815,False
8,-1.6183333333333332,67,1752,73.60897845110311,False
21,-1.7178962281777237,68,1773,75.9495017344659,False
12,-1.9716666666666667,69,1785,75.95200678460246,False
27,-7.02089307588531,70,1812,73.78977972443074,False
6,-0.06350655108942616,71,1818,63.22118273627091,False
26,0.02672150946326113,72,1844,69.34043109220241,False
16,-1.6148761029954541,73,1860,72.83848489913582,False
75,-4.711014878530957,74,1935,60.44390336132516,False
12,-3.6319358934877104,75,1947,74.13705700397702,False
17,-2.033398565684589,76,1964,79.8590242848007,False
20,-4.93633203783256,77,1984,73.66143135880914,False
13,-3.1284936346452428,78,1997,71.20947823724848,False
33,-7.48350304249427,79,2030,69.53938782523417,False
6,-1.7326459021269403,80,2036,68.62782656122171,False
56,-9.650718825032042,81,2092,10.283298381595918,False
14,-2.1483333333333334,82,2106,78.76722321262095,False
85,1.320590402760974,83,2191,61.59411265917872,False
9,-3.6914677445128006,84,2200,68.62246202005842,False
5,-1.3533333333333333,85,2205,69.74163875983945,False
5,-1.3533333333333333,86,2210,31.34559564272497,False
14,-4.119282711546067,87,2224,59.92755655434381,False
20,-5.080901923420944,88,2244,69.1600401343197,False
8,-3.115614765048503,89,2252,34.391345390067286,False
9,-0.5216490715909512,90,2261,69.32326474844453,False
37,-0.9105673845199393,91,2298,55.038908678733506,False
24,0.16563900815416632,92,2322,63.40563665589995,False
5,-0.1034085344918465,93,2327,63.70178667978883,False
27,-4.667889172769395,94,2354,56.09880457246574,False
10,-2.693510230552328,95,2364,65.4854534156448,False
35,-7.393031635864725,96,2399,59.76723450720338,False
6,-0.27510848084145967,97,2405,59.40309457210636,False
15,-3.7652523229135033,98,2420,34.0992747586639,False
44,-12.002775576245943,99,2464,55.7862444047311,False
9,-1.7066666666666666,100,2473,67.19224210664967,False
50,-4.718664557952195,101,2523,61.52522806250651,False
59,-3.4491044713837744,102,2582,60.72886634217593,False
63,-11.755529586554143,103,2645,69.00034076995207,False
13,-3.528705616013155,104,2658,43.146631891471,False
47,-6.7138230338702405,105,2705,66.68223390501757,False
19,-5.161988775227263,106,2724,69.45942958945851,False
7,-1.5299999999999998,107,2731,30.346510993327104,False
44,-9.27542524557152,108,2775,59.43027763098616,False
21,-2.766666666666667,109,2796,71.86445678442226,False
17,-0.07344182340598748,110,2813,41.12795648128761,False
47,1.9323198013733616,111,2860,56.040617818395596,False
95,-15.215994856080492,112,2955,45.70040721716586,False
