episode_length,episode_return,episodes,steps,steps_per_second,success
12,-3.562708070517742,1,12,18.779785955508327,False
13,-2.06,2,25,77.85462250626824,False
68,-17.540213474397266,3,93,74.24623299109214,False
17,-2.4133333333333336,4,110,76.01681890677106,False
82,-11.30867316400157,5,192,74.06573970247761,False
4,-1.265,6,196,70.38249458829057,False
14,-5.3428916834705795,7,210,78.08368161889958,False
40,-4.766001372094099,8,250,70.56959703878186,False
63,-0.06367494199060886,9,313,74.12549382416479,False
10,-3.2244163022143453,10,323,61.54111614053364,False
16,-2.325,11,339,78.1386865818316,False
8,-3.0683774879104186,12,347,60.171779845205904,False
25,-2.5117158584269257,13,372,75.56177204553987,False
23,-5.164421651507921,14,395,73.1018973955993,False
52,-2.024859488389548,15,447,72.93722124405787,False
42,-9.754390317096217,16,489,70.93391811146515,False
6,-3.088061020484597,17,495,55.82728603753494,False
18,-1.0768461960598297,18,513,76.10486492698224,False
13,-1.0506607787838784,19,526,58.86907702672356,False
17,-1.1617623734200004,20,543,71.12436135555214,False
64,-5.338980257867374,21,607,79.34710334127192,False
57,-6.5951611670537575,22,664,76.21130721458614,False
16,-1.1851327744415838,23,680,67.22832874017128,False
60,-8.668974486907668,24,740,72.25093407795438,False
8,-2.657799781602437,25,748,62.38773457385788,False
37,-6.16722640451831,26,785,71.74762319532054,False
14,0.7380335829361404,27,799,68.67705550747351,False
15,-1.9949089047500679,28,814,73.10376240384839,False
9,-2.6597134076820557,29,823,64.77256090969459,False
6,-1.4416666666666667,30,829,70.54269424184153,False
6,-1.4458113485191135,31,835,63.95007153330301,False
27,-4.514368763333989,32,862,76.27019072563836,False
10,-0.553567184977861,33,872,72.13834974416305,False
67,-15.724184130515187,34,939,73.48566482528683,False
14,-1.1223290768582548,35,953,62.569267030657954,False
16,-0.6659256914773558,36,969,72.340453237697,False
71,-7.207059850325685,37,1040,73.16968862617081,False
60,-11.684857674655499,38,1100,71.15975145092993,False
9,-2.586323527643719,39,1109,71.65993894938266,False
38,-4.652609791908187,40,1147,77.31627219494636,False
10,-2.926173038620627,41,1157,69.87129554048876,False
24,-1.9149526641250385,42,1181,78.02055936413699,False
29,-2.6257437714219116,43,1210,74.9687304696408,False
14,-1.345626088954966,44,1224,74.95564973193771,False
