episode_length,episode_return,episodes,steps,steps_per_second,success
25,-1.3972642572159981,1,25,17.83352265373517,False
16,-1.15,2,41,54.44315417059793,False
14,-1.968182385552133,3,55,45.74521924812077,False
27,-0.06737876892089867,4,82,50.65806606301403,False
39,-0.7152785110473636,5,121,58.61551758488576,False
22,-2.1357308702508524,6,143,52.64749650394337,False
42,-2.889334831237793,7,185,49.91160618282426,False
9,-1.08,8,194,59.76031117563154,False
30,-1.7033655631763684,9,224,61.56288529056045,False
16,-0.28046622276306166,10,240,52.312241786269965,False
11,-1.4502554893493653,11,251,60.00185191928545,False
7,-1.6683111763000489,12,258,52.387918713432555,False
26,-1.276951334790782,13,284,63.21636953656051,False
24,-1.1034865188598633,14,308,66.98703690887506,False
16,-0.5812195738599448,15,324,57.9474328187832,False
9,-1.2718948720028507,16,333,60.0613457692326,False
52,-3.2277647899861948,17,385,62.325541681228565,False
45,-0.5456256653706467,18,430,60.51428120733801,False
19,-2.126265309828565,19,449,60.61183657605897,False
42,-2.2050639724731447,20,491,64.99502762165946,False
44,-1.1759521293640138,21,535,57.5484902630307,False
62,-1.6481779670715335,22,597,59.69426615908135,False
26,-1.943253677262892,23,623,47.775553012633026,False
18,-1.17,24,641,48.12609331165143,False
45,-1.5424184862337738,25,686,59.07461177682038,False
12,-1.562541492716233,26,698,68.63858936157156,False
6,-1.05,27,704,46.624877026628944,False
16,-1.15,28,720,64.56183504561542,False
21,-0.9204730986257955,29,741,56.3477526569628,False
31,-1.1503737449645997,30,772,62.2259197966249,False
6,-0.8077426433563233,31,778,50.27232665454763,False
15,-0.9778489917742724,32,793,64.74603097828268,False
25,-2.1173530030367154,33,818,57.47013797314199,False
29,-1.3358603077822908,34,847,57.09126120083566,False
18,-1.1415547561645507,35,865,62.83842078015471,False
14,-2.12553983604732,36,879,55.36904457697838,False
5,-1.0402645445421863,37,884,58.84842787591374,False
46,0.5554666144717217,38,930,54.67183070654176,False
3,2.477568964958191,39,933,45.12818747175658,True
30,-1.1977636006762022,40,963,59.259409963732026,False
11,-0.9665153643947664,41,974,59.421111808017805,False
20,-0.6193685812883414,42,994,57.62174355649036,False
48,-2.285230346829144,43,1042,63.364846440014354,False
13,-1.1199999999999999,44,1055,66.53019460275975,False
23,-2.369626605611151,45,1078,58.81954338924104,False
11,-1.1039034741397633,46,1089,60.558662854952736,False
7,-1.1261706924438477,47,1096,55.285687923443966,False
24,-0.9709934997558595,48,1120,56.990181319766954,False
8,-1.07,49,1128,62.842958304381945,False
28,-2.2154247874504547,50,1156,58.98382522300901,False
10,-1.925505517754463,51,1166,55.86788748378297,False
37,-0.038663073439564766,52,1203,59.37342464925359,False
13,-1.1199999999999999,53,1216,65.75254081952585,False
34,-0.8327963336587403,54,1250,63.07681583272736,False
23,-1.22849488057474,55,1273,65.3030915552547,False
26,-0.7089914320676777,56,1299,58.80837809271123,False
11,-0.8854404449462892,57,1310,55.84296258281913,False
27,-0.9217061322671514,58,1337,59.58413772420433,False
10,-1.494620409011841,59,1347,54.53593207556983,False
8,-1.07,60,1355,57.041884122521004,False
55,-2.70740114876306,61,1410,58.658312821660324,False
11,-1.1,62,1421,47.15109248850281,False
23,-0.3923705465131926,63,1444,57.7251447781146,False
6,-0.6298323065704765,64,1450,39.68139868211297,False
16,-0.8999052449085332,65,1466,55.152243643742196,False
31,-1.7040889739990237,66,1497,62.610083126396134,False
16,-0.5510772705078126,67,1513,58.44660897677076,False
12,-0.899366276366823,68,1525,61.96326891399785,False
42,-2.059964307692141,69,1567,59.741841489469934,False
17,-1.2305556869506837,70,1584,63.41492238909774,False
72,-3.136567044588868,71,1656,66.27689747015684,False
16,-1.2208378352248803,72,1672,62.62088760615451,False
23,-1.92823227774609,73,1695,60.39579284784133,False
25,-1.3167510805314004,74,1720,65.6656486149842,False
31,-0.7214935302734378,75,1751,62.14754898375995,False
17,-1.16,76,1768,67.65686871734728,False
29,-2.1493993091583254,77,1797,58.411833462513314,False
8,-1.07,78,1805,50.99372502891289,False
19,-1.18,79,1824,55.92111011701139,False
13,-1.1359191461086533,80,1837,67.59152991578013,False
15,-0.9023120876520488,81,1852,56.65798832341073,False
15,-1.14,82,1867,64.15578191266431,False
6,-0.8382714227075019,83,1873,57.21351890837497,False
40,-1.8481737518310548,84,1913,63.85073954318214,False
5,-1.04,85,1918,61.533983545180334,False
12,-1.1099999999999999,86,1930,66.6516337921856,False
10,-0.5943644905090333,87,1940,59.13492189934257,False
14,-0.9743288803100586,88,1954,61.75138445747986,False
46,-1.534618827807995,89,2000,60.76985954815528,False
11,-0.8539101912669361,90,2011,60.78413145094567,False
37,-2.262669559825744,91,2048,4.194517240187265,False
65,-2.4372026237193634,92,2113,24.868502307884427,False
9,-1.0725961706271316,93,2122,50.46264903689979,False
26,-1.043661117553711,94,2148,13.885341549882648,False
52,-1.9032089315566894,95,2200,23.19002495462554,False
24,-1.3501806327035242,96,2224,13.13469735208683,False
11,-1.4895629232887626,97,2235,49.743820748054716,False
58,-3.426165651134364,98,2293,14.300626584368327,False
68,-2.0774288317882874,99,2361,16.30744549898766,False
20,-1.2045800121853782,100,2381,9.478646681143493,False
18,-1.17,101,2399,46.790191951569604,False
81,-0.8941998958587652,102,2480,13.948906738613,False
5,-1.040009059906006,103,2485,47.3750649468001,False
16,-1.431749725341797,104,2501,8.395112113109631,False
28,-0.808505554199219,105,2529,11.98762658583492,False
16,-1.2883508204831164,106,2545,46.69050095560257,False
14,-2.1957579898834227,107,2559,54.74377749063524,False
27,-1.670276810792866,108,2586,11.57192203134752,False
33,-1.3224067063746794,109,2619,14.213618481930608,False
18,-1.4506956532490285,110,2637,57.26993932975997,False
19,-1.8729206848144533,111,2656,10.276062080009655,False
73,-3.0381195259094236,112,2729,19.16296287719643,False
6,-1.0974911263003313,113,2735,46.37340006412642,False
58,-2.0026129960443457,114,2793,25.271689722560534,False
66,-4.249976587390222,115,2859,16.676794408361722,False
48,-0.6553662970513288,116,2907,21.610328050397257,False
15,-1.264488115310669,117,2922,52.59236224658689,False
10,-0.5248620285874067,118,2932,5.616350456292053,False
21,-0.7992900917428664,119,2953,52.39203202038569,False
13,-1.5227870893478395,120,2966,61.891189186796325,False
10,-1.100929584503174,121,2976,5.823333101472069,False
35,-0.4538024330139163,122,3011,17.039897213188034,False
8,-1.1533876194077064,123,3019,48.976635902795316,False
57,0.6459767289119307,124,3076,22.935536241838985,False
25,-0.9156571131954461,125,3101,13.70522581529727,False
51,-4.51544605187088,126,3152,22.272827410332944,False
62,-1.0223951934396704,127,3214,15.812358147655711,False
25,-2.1418059076390823,128,3239,59.61828866692138,False
40,-0.3637906455993656,129,3279,19.37012628577848,False
8,-1.07,130,3287,59.499581518732356,False
6,-1.0181058151339364,131,3293,3.8995675363923183,False
15,-1.070444100916071,132,3308,59.74803370946574,False
41,-0.2296887874603275,133,3349,18.11817672839497,False
8,-1.3289343672049627,134,3357,45.28238983865134,False
33,-0.20438778434656235,135,3390,16.219592314269,False
16,-1.15,136,3406,63.863755016354006,False
35,-1.34,137,3441,17.72377282423829,False
35,-0.17802294731140167,138,3476,17.373366697626157,False
31,-0.6727528316039668,139,3507,15.82338635403341,False
19,-1.1474170733620872,140,3526,66.49736820146526,False
19,-1.4749360814819041,141,3545,10.87802590820756,False
23,-2.2273558680338006,142,3568,13.05761300496078,False
8,-1.064074771829081,143,3576,43.24582033767238,False
23,-0.927077980041504,144,3599,64.92442252531521,False
76,0.09941269967311572,145,3675,18.810914454085804,False
40,-1.040784492492676,146,3715,19.08558289739012,False
36,-1.9123330793197808,147,3751,17.95321971457943,False
13,-0.6491223526000978,148,3764,59.068112659150714,False
26,-2.2174730000423857,149,3790,14.355415451370217,False
7,-1.145433728597974,150,3797,61.31408714247527,False
36,0.43821364951864417,151,3833,17.45195915781191,False
7,-1.06,152,3840,62.756905687640405,False
49,-0.7553595425617587,153,3889,13.507493004585838,False
52,-1.406619319915772,154,3941,22.2103650430233,False
9,-0.6801834708963083,155,3950,56.96890525489722,False
48,-2.1057769607024115,156,3998,19.961004541445835,False
42,-2.996196403086139,157,4040,19.31500747389728,False
6,-0.8308170877198919,158,4046,46.97351165199862,False
13,-1.1828900527954103,159,4059,7.92436113179265,False
24,-0.9034661436937396,160,4083,57.28071525144421,False
67,-1.4223899380498792,161,4150,17.40350529515035,False
35,-0.5686342048153883,162,4185,18.081905006608856,False
25,-0.19696380236648459,163,4210,13.660713320255956,False
7,-1.3928981399536133,164,4217,39.56895898781535,False
22,-2.738400421142578,165,4239,56.67146407867641,False
7,-0.574328956604004,166,4246,53.95098860712973,False
20,-4.511161409306947,167,4266,11.692829823531634,False
16,-1.662824058532715,168,4282,56.389975505951256,False
28,-3.562211616555626,169,4310,14.404633012174218,False
16,-1.5741700766597178,170,4326,59.414244077952524,False
25,-1.8158973382054486,171,4351,13.465022884385379,False
18,-2.0608611390994502,172,4369,10.566365223598073,False
22,-1.1838426208496093,173,4391,58.834619803694785,False
