episode_length,episode_return,episodes,steps,steps_per_second,success
12,-1.478494684694384,1,12,16.41915259329626,False
18,-1.8238739112502316,2,30,64.78300997949185,False
13,-1.2317682456970216,3,43,70.08585222394176,False
18,-1.5575006895440788,4,61,67.18590383639908,False
8,-1.0156286430358887,5,69,73.99906493414842,False
12,-1.1099999999999999,6,81,81.84753083207576,False
22,-2.7723320002211747,7,103,71.68770082723731,False
54,-2.314548846062931,8,157,74.85805940921297,False
10,-1.09,9,167,65.54562701396767,False
23,-0.39159700393676766,10,190,67.78082542127203,False
13,-1.3786115258632847,11,203,63.69802116104191,False
7,-1.06,12,210,68.12916639594569,False
11,-0.9395058699484506,13,221,64.19644631203997,False
14,-0.8859534143597811,14,235,67.51487919350426,False
9,-1.08,15,244,66.76312005560537,False
35,-1.7113456442238262,16,279,64.14754920724812,False
9,-1.6505241426962018,17,288,63.94546751207382,False
31,-2.8378887653350833,18,319,70.4814610234558,False
19,-1.318068199157715,19,338,71.21167598828684,False
7,-1.0000601387023926,20,345,61.19765965828677,False
7,-1.0459476787689568,21,352,56.405054147463225,False
21,-1.2,22,373,74.38115955736309,False
19,-1.9244545492253033,23,392,62.42829288392858,False
11,-1.2230316523925624,24,403,63.31189972705978,False
7,-0.8833494021301909,25,410,72.7941269081722,False
14,-1.2652920532226564,26,424,70.82930477335807,False
12,-1.1099999999999999,27,436,74.54651932621513,False
23,-1.035810203552246,28,459,70.91556203761424,False
13,-1.7734291719123083,29,472,66.14345449009473,False
6,-1.0481975801898806,30,478,73.35242697788568,False
6,-1.05,31,484,63.71594732751178,False
9,-1.5747686195373536,32,493,56.15700089259149,False
12,-0.9302765668158562,33,505,62.80794351588179,False
30,-1.9804749631533762,34,535,56.06801106663642,False
18,-1.17,35,553,71.50803853038957,False
6,-0.7308529310794847,36,559,61.32127984639114,False
15,-1.14563045074357,37,574,69.857951359472,False
7,-1.052082715034485,38,581,57.187961752795594,False
9,-1.2534271897726348,39,590,62.81134003121537,False
39,0.0766712379455563,40,629,64.89052644607249,False
11,-1.1147519111633302,41,640,44.79719122724572,False
13,-1.4153732928867542,42,653,64.17543450806754,False
6,-1.05,43,659,46.650806097310046,False
11,-1.09506413936615,44,670,71.54851436015136,False
37,-1.1047675067449447,45,707,64.22896231584629,False
17,-0.7128021915762615,46,724,71.20774961551521,False
12,-1.1099999999999999,47,736,46.1500814224726,False
23,-0.6011933994293214,48,759,59.46286968206418,False
11,-1.0320153336453322,49,770,69.91608374652975,False
26,-3.6416596483018537,50,796,61.85369771454435,False
12,-1.1099999999999999,51,808,76.81359615654627,False
22,-0.9467596626281738,52,830,76.70075341964743,False
23,-1.4273068379829272,53,853,78.80449223791739,False
9,-1.4139967727661134,54,862,73.3775933287329,False
5,-1.045947625497257,55,867,79.26763076132232,False
15,-1.14,56,882,78.49807668073649,False
5,-1.0389709456564875,57,887,67.1625940752602,False
13,-1.1199999999999999,58,900,81.30980994489968,False
8,-1.4064605989602843,59,908,66.97745423479134,False
