episode_length,episode_return,episodes,steps,steps_per_second,success
22,-1.449651679992676,1,22,25.387111914966436,False
18,-1.6946405601501466,2,40,64.47765966441457,False
48,-2.359957427978516,3,88,67.86506176152137,False
25,-1.4097914600372317,4,113,68.85145578920965,False
19,-1.1234456825256347,5,132,68.67464592713877,False
13,-1.734917278289795,6,145,64.52401221704304,False
61,-3.177837944030759,7,206,70.27593543522717,False
8,-1.07,8,214,65.04359962471602,False
62,-1.0427898025512699,9,276,71.18120016160697,False
14,-1.2755349922180177,10,290,65.8857977005149,False
11,-1.2208665370941163,11,301,58.66211650961928,False
7,-1.264509735107422,12,308,48.31678293253288,False
25,-1.1599333190917969,13,333,67.84730319237732,False
34,-1.7767849731445315,14,367,69.24089712017278,False
66,-1.3287135601043703,15,433,75.6415829685702,False
8,-1.07,16,441,67.16756845482952,False
21,0.13298587799072248,17,462,65.67183907188978,False
12,-1.1138185119628905,18,474,57.98710569367958,False
21,-2.3060237884521486,19,495,67.17965215918946,False
41,-1.5953551769256595,20,536,69.35910338296434,False
37,-1.36,21,573,74.1771704897801,False
17,-2.4661933517456056,22,590,54.48896360940867,False
5,-1.0242205047607422,23,595,58.980501565105875,False
8,-1.07,24,603,65.01436133522441,False
111,-2.2444702148437505,25,714,64.52939950235736,False
35,-0.7696722412109377,26,749,65.87818422924431,False
5,-1.04,27,754,62.410965916023606,False
38,-1.969789619445801,28,792,69.15317751291875,False
8,-0.6804097366333008,29,800,61.70090323339904,False
6,-0.9234343051910401,30,806,56.09083006806906,False
8,-1.182325668334961,31,814,51.3012937532298,False
21,-1.2,32,835,44.21901369136789,False
11,-1.5519586563110352,33,846,57.7777020833229,False
53,-2.5148139190673833,34,899,64.43968938820329,False
20,-1.4382461929321289,35,919,44.40766543144521,False
14,-1.493104820251465,36,933,47.77208778245571,False
27,-0.6308639144897463,37,960,63.86465315679593,False
12,-1.1099999999999999,38,972,66.77755827421552,False
9,-1.6675997543334962,39,981,63.9160174670123,False
20,-1.5276153707504272,40,1001,68.87492733679927,False
11,-1.0656972885131837,41,1012,66.81052463906627,False
26,-0.5531425476074221,42,1038,66.94683206737172,False
23,-1.445496292114258,43,1061,64.25975413576155,False
13,-1.1199999999999999,44,1074,70.87551604013935,False
22,-0.8856844520568848,45,1096,71.13171147600632,False
40,-0.8077799224853517,46,1136,68.07730450293698,False
19,-2.281542949676514,47,1155,64.52508924732663,False
7,-0.9088769531249999,48,1162,61.254987377688764,False
12,-1.1114448165893553,49,1174,68.25129975618553,False
37,0.2470404052734374,50,1211,61.978368370311266,False
15,-0.5625673675537111,51,1226,63.49560831166,False
5,-1.04,52,1231,66.8404328217877,False
7,-0.38584178447723394,53,1238,80.74820476291319,False
16,-1.2157758712768556,54,1254,68.53787877240464,False
23,-1.244374008178711,55,1277,68.7223941032193,False
43,-1.325056953430176,56,1320,73.61470571068337,False
42,0.5807870292663571,57,1362,71.47064243372381,False
18,-0.38026515960693374,58,1380,70.05672650608447,False
11,-1.1096397399902345,59,1391,67.94435723058527,False
112,-3.258276805877681,60,1503,69.51869993968047,False
28,-1.051123161315918,61,1531,69.4760109443171,False
22,-0.4250893211364748,62,1553,65.51831749953848,False
30,-1.0964327239990235,63,1583,74.25430640221413,False
27,-2.689008960723877,64,1610,64.82992409063327,False
47,-4.182723484039303,65,1657,62.00080012278614,False
13,-0.9235788536071777,66,1670,64.9399882806359,False
38,-5.066774005889887,67,1708,64.17344885746186,False
21,-1.4254276275634767,68,1729,70.37810809320744,False
55,-0.9719067001342777,69,1784,70.21871023906783,False
14,-1.13,70,1798,73.21727680798006,False
19,-0.5963684844970704,71,1817,65.43902539164823,False
21,-1.7690927505493166,72,1838,61.59635402643848,False
19,-0.6982218551635744,73,1857,70.87707739294856,False
5,-1.318778076171875,74,1862,56.52685572276086,False
14,-0.8954027938842773,75,1876,66.99363494788963,False
18,-1.2206772994995119,76,1894,68.18540548644465,False
35,-1.6075547599792483,77,1929,75.15642502718521,False
5,-1.04,78,1934,63.65499490068476,False
40,-3.2398954772949207,79,1974,67.15848068553046,False
18,-2.4731511306762695,80,1992,65.18573981816455,False
56,-2.0038526535034182,81,2048,9.518436175735307,False
23,-2.726685256958008,82,2071,39.26004281330631,False
13,-1.4864369583129884,83,2084,57.02424102347967,False
8,-0.698260612487793,84,2092,12.926900041838328,False
21,-2.2924034118652346,85,2113,66.85352174893151,False
12,-1.1099999999999999,86,2125,74.86163470562775,False
33,-2.161564178466797,87,2158,34.34642304663015,False
28,-0.8350453567504885,88,2186,32.25940137425989,False
15,-1.5314108276367189,89,2201,65.10582681304672,False
10,-1.25920804977417,90,2211,13.80641737915652,False
38,-3.4063402366638176,91,2249,37.47293323910058,False
9,-1.0636006164550782,92,2258,60.772824380780655,False
5,-1.0455317878723145,93,2263,67.64351836919008,False
16,-1.3046812057495119,94,2279,69.75784854047603,False
47,-2.5444326019287113,95,2326,41.87019476965288,False
55,-5.46368364334106,96,2381,29.17207367466498,False
27,-3.978230247497555,97,2408,31.735467821680214,False
40,-2.162345542907715,98,2448,38.0856406248262,False
22,-1.2098445510864257,99,2470,67.80212220808984,False
13,-0.8707216930389405,100,2483,66.94383200552976,False
12,-1.109648094177246,101,2495,18.85060681011585,False
33,-0.4974339675903323,102,2528,36.02770560426797,False
44,-3.3703414726257304,103,2572,38.10964298030599,False
17,-0.8080369567871095,104,2589,66.77114341205049,False
48,-3.9586608123779277,105,2637,39.62760716887418,False
13,-0.9742542457580566,106,2650,18.92310153676154,False
6,-1.05,107,2656,59.702137249924675,False
10,-1.2745061779022218,108,2666,64.17567621326691,False
21,-1.3011242866516113,109,2687,72.48256986127318,False
51,0.5630893707275386,110,2738,30.075517830587174,False
35,-3.6389320755004855,111,2773,34.00590606812827,False
21,-1.2324697494506838,112,2794,71.21381839585267,False
33,-0.811470813751221,113,2827,34.781349368888975,False
19,-0.8204061317443849,114,2846,76.39502508737924,False
13,-1.1199999999999999,115,2859,20.080901140715216,False
9,-1.0802546310424805,116,2868,70.16428471854351,False
21,-1.9272949218750002,117,2889,26.508965095477606,False
11,-1.3745151519775392,118,2900,65.4347805737999,False
25,-2.407294502258301,119,2925,68.58588574033702,False
2,-1.2376418209075928,120,2927,46.30752415125586,False
31,-2.194604682922363,121,2958,33.37392856904515,False
26,-1.6641931533813479,122,2984,30.49389573478799,False
22,-1.5452890014648437,123,3006,67.60139547627735,False
17,-1.011959228515625,124,3023,23.065157955346802,False
11,-1.1650911331176759,125,3034,69.03635914739527,False
5,-0.9316068077087403,126,3039,51.91355793747061,False
22,-1.3223628616333007,127,3061,27.492619350102373,False
2,1.2839368784427643,128,3063,44.9738261438329,True
16,-0.8984078407287599,129,3079,62.87864057657063,False
12,-0.14566932678222666,130,3091,17.76956317891419,False
43,-1.2204360198974609,131,3134,39.81287525642546,False
47,-1.2681655502319336,132,3181,42.05597371153474,False
55,-3.096870222091674,133,3236,42.12505085609897,False
6,-1.05,134,3242,69.91613672164759,False
45,-3.2159308815002423,135,3287,38.682667104982436,False
27,-1.9646098709106448,136,3314,31.200671808085062,False
7,-1.0950484848022461,137,3321,54.89957497891724,False
11,-0.5548673629760743,138,3332,17.100882855174167,False
7,-1.06,139,3339,67.20671697992277,False
49,-0.8058743286132817,140,3388,40.8773426501657,False
18,-0.8305944633483888,141,3406,69.88727129666057,False
12,-1.1099999999999999,142,3418,18.558518257953114,False
40,-2.0609594726562506,143,3458,37.63239075991687,False
24,-1.2316846656799316,144,3482,71.37863901431781,False
32,-1.4924517250061036,145,3514,33.29397324728648,False
12,-0.9603808975219726,146,3526,66.31494152012111,False
59,-2.2234226036071782,147,3585,32.81115588074198,False
14,-2.4784344482421874,148,3599,57.38804981167185,False
40,-0.18037332534790074,149,3639,36.68464468808723,False
9,-0.7589469718933106,150,3648,15.450770763461449,False
10,-1.0642307662963868,151,3658,55.314195885628976,False
5,-1.04,152,3663,68.45272795521682,False
27,-2.354223976135254,153,3690,32.01957939142384,False
25,-1.24,154,3715,50.36598551428422,False
11,-1.1,155,3726,71.9237259071267,False
8,-1.0718486976623536,156,3734,13.409811248366458,False
10,-0.9186705017089843,157,3744,63.45747038790371,False
42,-0.4457532501220707,158,3786,37.251442546096236,False
50,0.9187176322937021,159,3836,40.597862310627214,False
50,-2.351728668212891,160,3886,42.358449312406776,False
20,-1.9411811256408693,161,3906,25.89843904366726,False
24,-0.7941136169433596,162,3930,29.419578839756223,False
21,-1.205289077758789,163,3951,78.07700231003385,False
24,-0.44292495727539083,164,3975,28.23582792136302,False
22,1.021320142745973,165,3997,62.17497454708637,False
40,-2.2360016250610357,166,4037,32.45719698171494,False
6,-1.1585140705108643,167,4043,47.6629968086819,False
52,-2.286922225952149,168,4095,30.07766659854146,False
15,-1.2228561782836915,169,4110,64.72058800837367,False
13,-1.2953664016723634,170,4123,58.83325204901229,False
69,-2.8080555725097662,171,4192,33.71454187072754,False
9,-1.08,172,4201,70.1614156910341,False
24,-1.711644630432129,173,4225,27.674496337084452,False
63,0.8365157890319848,174,4288,32.795594011081995,False
21,-1.4795467376708986,175,4309,55.07192457029956,False
9,-1.08,176,4318,69.90584339825998,False
17,-1.4656068420410158,177,4335,22.31977907843755,False
32,-2.554402408599854,178,4367,66.02860303996466,False
18,-0.22658197402954117,179,4385,23.279810178397156,False
15,-1.14,180,4400,70.97137210398904,False
15,-1.3213793182373048,181,4415,20.27471847543621,False
18,-1.616213722229004,182,4433,66.63854396525853,False
20,-1.19,183,4453,26.94510926143695,False
12,-1.3823989486694337,184,4465,68.37359314357441,False
13,-1.4616991233825685,185,4478,58.34829013869582,False
34,-2.2973349857330323,186,4512,24.44997476243773,False
14,-2.902870063781738,187,4526,59.81998663428469,False
36,-0.8142747044563297,188,4562,34.94319896953453,False
13,-1.291571731567383,189,4575,18.922766614610445,False
12,-1.1099999999999999,190,4587,71.81033447139879,False
53,1.0163044738769553,191,4640,39.87137596515826,False
33,-1.7454794120788577,192,4673,32.76524629203748,False
10,-1.09,193,4683,68.19629483898451,False
23,-1.814061851501465,194,4706,28.292001611842704,False
15,-1.196947708129883,195,4721,71.40877682033215,False
18,-1.1543997955322265,196,4739,24.889147935170005,False
17,-1.7656089401245119,197,4756,66.7750828564231,False
11,-0.3621917724609376,198,4767,62.500466003424584,False
17,-1.0964938735961913,199,4784,23.432227839207506,False
5,-0.8938084030151368,200,4789,56.116195185649,False
36,-1.3215189933776856,201,4825,36.034408045822026,False
35,1.0868372058868463,202,4860,34.26630169012894,False
30,-0.1626892471313479,203,4890,33.09002453565033,False
101,-2.693810462951661,204,4991,42.16032009719795,False
23,-1.3612158012390139,205,5014,28.011993567656624,False
41,-1.246796035766602,206,5055,37.65737370056725,False
15,-1.14,207,5070,73.4402347675962,False
26,-2.421701192855835,208,5096,30.290260344477993,False
44,-2.4577805328369147,209,5140,38.36306822433792,False
32,-2.392234382629395,210,5172,33.12419017486621,False
20,-1.4596852684020998,211,5192,64.81112803982953,False
17,-1.0896063184738158,212,5209,23.38592407029503,False
31,-1.2788541793823243,213,5240,70.50615055340069,False
86,-4.056050872802724,214,5326,39.44599823017443,False
28,-1.8816374731063845,215,5354,29.772310756265114,False
26,-2.22403621673584,216,5380,27.032718065695917,False
59,-1.6700809764862066,217,5439,40.809322438487264,False
34,-3.075251178741454,218,5473,34.43374840334471,False
46,-4.054374885559079,219,5519,38.63322263593304,False
18,-1.3189024162292482,220,5537,24.43524282000559,False
11,-1.1,221,5548,71.37948564824627,False
