episode_length,episode_return,episodes,steps,steps_per_second,success
22,-4.103668145806112,1,22,23.01933580852837,False
51,-7.427814710187773,2,73,62.46525112309809,False
20,-0.30447828743430305,3,93,68.78964261171767,True
13,-0.18170204144006674,4,106,64.95522843232206,False
26,-4.023924514500628,5,132,71.42836819321806,False
72,-9.55601470588347,6,204,67.36492556707218,False
61,-12.665207153456524,7,265,67.65221106962674,False
26,-6.241844478166794,8,291,65.44770066826908,False
68,-9.988373181538352,9,359,64.33682485709265,False
9,-2.101909581906571,10,368,58.52517209302326,False
34,-6.458092265551188,11,402,59.7798037917827,False
7,-2.779351558400505,12,409,45.95641359965815,False
12,-1.9716666666666667,13,421,58.48844678922537,False
10,0.6735595347231085,14,431,56.41319332828512,False
57,-10.021258327718064,15,488,54.257577837928984,False
8,-0.4009851300088447,16,496,65.48062283264349,False
45,-1.9813265207267514,17,541,68.99393783428911,False
13,-0.4112822851618343,18,554,60.89896811418092,False
20,-3.9696172914509735,19,574,63.09909329835103,False
16,-3.814196975545143,20,590,66.12003881945505,False
53,1.7304552846515624,21,643,61.75182555558364,False
42,-5.037083211938142,22,685,67.204306916642,False
27,-1.5126376964067165,23,712,61.22018922942689,False
24,-0.2847423932326394,24,736,63.68450567359375,False
28,-4.607038486604845,25,764,59.53704471646519,False
12,-2.1134211998931143,26,776,55.10899135124837,False
30,-4.566850199438002,27,806,57.74987332848677,False
17,-2.9297007412346474,28,823,54.51291699955275,False
20,-8.408149668503041,29,843,62.83898041630429,False
6,-1.4416666666666667,30,849,69.02348339815359,False
33,-6.853772478568155,31,882,67.2328985109499,False
21,-2.766666666666667,32,903,69.82975029313621,False
17,-3.1576014663426752,33,920,61.720824789028896,False
117,-2.3763619454886893,34,1037,58.32067760973122,False
19,-3.712778551449279,35,1056,65.32471537371315,False
17,-0.931337107801022,36,1073,64.478213571654,False
27,-0.7350524944020647,37,1100,68.28992561726812,False
10,-2.789951259739983,38,1110,66.83297746900793,False
32,-3.738333333333334,39,1142,74.1012015838558,False
10,-0.4001262810145403,40,1152,64.62180342467653,False
13,-0.8339832119833235,41,1165,67.3076805332675,False
36,-10.479798516097905,42,1201,65.40620955291843,False
11,0.4033551111419631,43,1212,63.68444707012594,False
1,1.0,44,1213,37.118062991707895,True
12,-3.000290944274184,45,1225,59.69604759397105,False
1,1.0,46,1226,40.07666950132337,True
7,-2.155472800454586,47,1233,65.7763479499869,False
15,-2.3735148304912066,48,1248,67.6277400900993,False
13,-1.6915440636687171,49,1261,72.78822700185822,False
62,-1.978737999911021,50,1323,65.37061300806754,False
10,-3.452356518557044,51,1333,58.661102144597386,False
34,-8.02448883716293,52,1367,65.8645356941287,False
49,0.6986934063249817,53,1416,64.69256246525686,False
20,-0.31677764682263665,54,1436,63.28584221481376,False
25,-4.987964879558542,55,1461,57.409505142390984,False
43,0.6030583913142031,56,1504,69.39263700764741,False
17,-2.5596218129559407,57,1521,73.68328548782782,False
34,-8.34433214698557,58,1555,63.198273779953034,False
34,-8.91285663958411,59,1589,50.07749587124826,False
50,-4.743463114414887,60,1639,65.54615965474649,False
74,-5.438051872741141,61,1713,70.46585744886387,False
12,-3.5775530963444195,62,1725,56.275776939203354,False
41,-6.518232749175283,63,1766,63.710655721610166,False
41,-8.443736010888482,64,1807,63.79567158409576,False
29,-3.473333333333334,65,1836,74.45207754265844,False
20,-3.6665161308329126,66,1856,71.30568865609399,False
24,-3.807892002821489,67,1880,69.72866283423257,False
85,-6.314605075655124,68,1965,70.5875514038676,False
17,-3.229763312070184,69,1982,68.68437032812909,False
18,-4.346935090421903,70,2000,65.07566872875812,False
11,-1.8833333333333333,71,2011,69.548263002234,False
26,-3.4931467884602854,72,2037,71.14968444801401,False
15,2.0073706087479075,73,2052,2.1760017442722317,False
25,-5.302735382348765,74,2077,49.355320786333074,False
14,-5.016569020494039,75,2091,40.41876187794991,False
11,-2.242696739443872,76,2102,69.90061844549287,False
59,-9.29923317663294,77,2161,55.740355794677114,False
28,-7.774496082890378,78,2189,44.69254108944444,False
25,-7.769582148359465,79,2214,45.59216384683882,False
12,-1.9716666666666667,80,2226,71.3180556441157,False
35,-4.225673148562762,81,2261,55.34020885937089,False
1,1.0,82,2262,43.71981320880587,True
19,-3.604810791416906,83,2281,65.7986535066788,False
57,-6.771421875638658,84,2338,18.817901914059195,False
45,-6.29831162185979,85,2383,34.11383830131797,False
21,-3.4357474543967776,86,2404,56.61398914774721,False
28,-7.511204518612571,87,2432,49.195059403277924,False
16,-2.020674842949634,88,2448,46.19252096629424,False
54,-9.375978103316237,89,2502,51.178423448411436,False
25,-4.996004716947914,90,2527,64.42162664951339,False
38,-1.7055865786409734,91,2565,53.19345592897908,False
60,-13.025239388967362,92,2625,49.12382096441944,False
6,-1.606839668851924,93,2631,56.983180718963126,False
1,1.0,94,2632,53.087751718202185,True
14,-4.607548175472667,95,2646,53.82483356264397,False
42,-8.460887149269954,96,2688,46.45093759764582,False
14,-2.1446010363687207,97,2702,53.01384565382254,False
60,-12.889328345655027,98,2762,57.86932423765727,False
51,-12.47214203862969,99,2813,46.02481873288266,False
39,-14.584652332380728,100,2852,49.98289045940067,False
