episode_length,episode_return,episodes,steps,steps_per_second,success
25,-1.533667594693879,1,25,28.03100536466804,False
9,-1.08,2,34,76.71275547219044,False
13,-1.6837034971668112,3,47,69.21513376281298,False
11,-0.9698609474717551,4,58,76.68290607382194,False
8,-1.0724418830871583,5,66,80.78825438558475,False
13,-1.1303836059570314,6,79,83.23899287538566,False
6,-0.8834492613901284,7,85,64.32274571046638,False
6,-1.05,8,91,81.95815109246817,False
39,2.9379981396419126,9,130,63.155742062669326,False
6,-0.3621398585833685,10,136,63.20149478632994,False
10,-1.2228251911168397,11,146,68.43217808697469,False
8,-1.0818312025956598,12,154,83.25273481985793,False
13,-2.1120332431793214,13,167,68.95577549074409,False
23,-1.22,14,190,84.76676988397718,False
16,-1.6200711965560914,15,206,79.71262583369463,False
38,-0.7892907810211185,16,244,72.16915224644008,False
22,-1.696049294471741,17,266,77.17552755955562,False
7,-0.9468031501770019,18,273,72.19449150562725,False
24,-1.1149416392997011,19,297,70.83791343927005,False
34,-1.2294522094726563,20,331,82.14106554001319,False
17,0.09617551803588853,21,348,69.30382203802502,False
22,-1.1147789928100416,22,370,80.50262774028295,False
11,-1.6639180391593649,23,381,68.39214942187964,False
11,-0.7125006015383786,24,392,72.41751556265716,False
17,-1.0927225695222835,25,409,79.14123696808186,False
8,-1.3045783276167646,26,417,69.55828961033846,False
4,2.0525808000446464,27,421,49.07283172070059,True
13,-1.4189144154573625,28,434,66.51323288312905,False
8,-1.07,29,442,77.56134048976233,False
6,-1.0802849072492802,30,448,77.61360699471079,False
6,-1.05,31,454,73.99210267115535,False
19,-0.5765251220135699,32,473,73.05207307794554,False
15,-1.0546377560625626,33,488,77.91344321251083,False
12,-1.041320103263934,34,500,72.94103461868436,False
24,-3.2780654029658494,35,524,61.433138266416776,False
45,-2.6931740409521505,36,569,75.1565319086496,False
4,-0.9196885889530796,37,573,63.99926758650681,False
22,-1.1492337799072265,38,595,78.74200779785316,False
37,-2.660860928418183,39,632,68.79794655820191,False
15,-1.0383995293276516,40,647,79.52613895777874,False
12,-1.1099999999999999,41,659,81.50715775563876,False
15,-1.4385402377689667,42,674,73.610367182756,False
